시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 대원동,96-6,96,6,대원그린빌,26.45,201601,6,"         5,450",4,2003,대원로27번길 20
경상남도 창원의창구 대원동,96-6,96,6,대원그린빌,27.95,201601,6,"         6,000",5,2003,대원로27번길 20
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201507,7,"        67,300",5,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201507,8,"        39,400",8,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201507,10,"        50,000",6,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201507,22,"        41,500",14,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201507,27,"        54,000",27,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201507,28,"        50,000",9,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201507,28,"        46,900",4,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201508,17,"        37,400",32,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201508,20,"        44,400",36,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201508,21,"        36,800",11,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,175.61,201508,26,"        64,900",38,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201509,1,"        35,800",10,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201509,7,"        42,500",2,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201509,19,"        38,000",13,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201509,21,"        44,000",27,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201509,22,"        45,500",14,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201510,5,"        58,000",20,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201510,7,"        49,500",35,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201510,15,"        60,000",11,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201511,2,"        38,300",16,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201511,9,"        49,800",12,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201511,15,"        47,000",5,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201511,18,"        41,500",26,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201511,24,"        42,300",27,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201511,25,"        51,700",22,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201512,3,"        36,500",19,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201512,4,"        41,000",7,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201512,7,"        37,000",24,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201512,8,"        52,000",23,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201601,5,"        46,000",23,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201601,6,"        60,000",36,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201601,7,"        60,000",19,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201601,13,"        39,000",3,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201601,22,"        48,000",3,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201601,30,"        60,000",34,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201602,5,"        38,500",28,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201602,15,"        38,000",19,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201602,23,"        43,000",26,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201602,26,"        41,500",14,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201603,14,"        37,800",23,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201603,18,"        37,000",13,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201603,23,"        64,500",30,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201604,1,"        65,000",13,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201604,4,"        53,000",25,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201604,14,"        38,500",23,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201604,15,"        41,500",30,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201604,30,"        42,500",21,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201605,16,"        50,800",7,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201605,24,"        39,000",24,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201606,4,"        50,500",24,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201606,6,"        48,000",25,2009,원이대로 320
경상남도 창원의창구 도계동,910-2,910,2,강남프리텔,34.91,201507,30,"         7,300",6,2003,우곡로 2-11
경상남도 창원의창구 명서동,202-3,202,3,모비딕빌딩,29.6,201509,17,"         6,300",11,2004,우곡로217번길 24
경상남도 창원의창구 명서동,202-3,202,3,모비딕빌딩,35.52,201602,24,"         8,400",10,2004,우곡로217번길 24
경상남도 창원의창구 명서동,199-8,199,8,장복빌딩,35.89,201508,12,"         3,900",6,1991,창이대로113번길 6
경상남도 창원의창구 명서동,199-8,199,8,장복빌딩,34.96,201602,23,"         4,500",6,1991,창이대로113번길 6
경상남도 창원의창구 명서동,199-8,199,8,장복빌딩,36.22,201603,25,"         4,500",9,1991,창이대로113번길 6
경상남도 창원의창구 명서동,199-8,199,8,장복빌딩,32.4,201605,23,"         4,450",9,1991,창이대로113번길 6
경상남도 창원의창구 봉곡동,32-4,32,4,우성빌딩,33.6,201510,13,"         6,500",7,,지귀로24번길 16
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,38.76,201507,22,"         5,700",6,2002,사림로 47
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,56.68,201508,28,"         7,200",7,2002,사림로 47
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,32.37,201508,29,"         5,200",5,2002,사림로 47
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,48.66,201511,23,"         5,356",6,2002,사림로 47
