시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,26.41,201704,3,"         6,500",10,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201706,23,"         5,600",10,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201706,23,"         5,700",8,2003,마디미로38번길 11
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,38.89,201607,1,"         8,250",12,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.06,201607,4,"         4,800",13,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.06,201607,8,"         4,800",13,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.84,201607,20,"         5,300",6,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.32,201607,22,"         5,000",4,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.06,201608,22,"         5,200",7,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.84,201608,25,"         5,200",7,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.32,201610,13,"         5,400",7,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,38.89,201611,17,"         7,700",6,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.06,201611,28,"         5,450",13,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,29.84,201612,2,"         5,400",5,2000,상남로 37
경상남도 창원성산구 상남동,69-1,69,1,덕산베스트텔,27.3,201703,8,"         5,530",3,2000,상남로 37
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,46.22,201607,2,"        15,000",13,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,29.45,201608,4,"        10,000",14,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,22.09,201609,20,"         6,800",12,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,25.99,201611,1,"         9,500",10,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,22.09,201611,15,"         6,800",5,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,22.09,201611,16,"         7,000",9,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,44.65,201612,9,"        14,000",15,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,22.09,201701,23,"         7,500",6,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,44.65,201702,17,"        14,000",15,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,22.09,201705,8,"         7,500",9,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,29.45,201705,16,"         9,800",10,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,44.65,201706,9,"        14,300",13,2006,중앙대로 104
경상남도 창원성산구 상남동,9-3,9,3,메르디앙빌딩,25.71,201702,28,"         3,900",5,2003,마디미로9번길 7
경상남도 창원성산구 상남동,9-3,9,3,메르디앙빌딩,21.21,201703,6,"         3,300",6,2003,마디미로9번길 7
