시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,36.6,202001,30,"         5,300",6,2003,월영북로 61
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,36.6,202002,15,"         5,900",4,2003,월영북로 61
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,30.6,202005,27,"         4,300",8,2003,월영북로 61
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,36.6,202006,15,"         6,000",3,2003,월영북로 61
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,36.6,202006,16,"         4,300",4,2003,월영북로 61
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,201909,18,"         3,000",5,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,201909,30,"         3,000",7,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,43,201912,20,"         6,000",10,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,202005,11,"         2,500",6,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,202005,14,"         2,000",6,2006,해안대로 367
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201910,28,"         7,000",10,2015,3·15대로 353
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201911,7,"         6,370",9,2015,3·15대로 353
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201912,11,"         6,195",6,2015,3·15대로 353
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201912,11,"         6,195",5,2015,3·15대로 353
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201912,11,"         6,195",8,2015,3·15대로 353
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,32.8,201907,25,"         3,200",8,1998,합포남2길 6
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,37.8,201911,19,"         4,700",9,1998,합포남2길 6
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,32.8,202006,9,"         3,300",5,1998,합포남2길 6
경상남도 창원마산합포구 산호동,36-18,36,18,동원오피스텔,30.78,202006,23,"         3,500",4,2004,산호남2길 1
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,37.22,202005,12,"         4,200",4,2004,산호북19길 11
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,37.22,202005,13,"         6,350",8,2004,산호북19길 11
경상남도 창원마산합포구 산호동,644,644,0,산호  베스티움,30.62,201910,15,"         8,000",2,2016, 
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,47.84,201912,18,"        16,000",12,2015,합포로 162
경상남도 창원마산합포구 산호동,421-1,421,1,진웅네스빌,59.84,201911,14,"         8,000",2,2003,합포남2길 11
경상남도 창원마산합포구 신포동2가,85-6,85,6,기전씨티텔,47.34,201908,14,"         5,250",9,1998,동서동2길 41
경상남도 창원마산합포구 신포동2가,85-6,85,6,기전씨티텔,47.34,201908,15,"         5,900",8,1998,동서동2길 41
경상남도 창원마산합포구 신포동2가,28,28,0,대우백화점,54.48,202004,1,"         8,500",16,1994,동서동로 18
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,26.61,201908,16,"        11,964",7,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,34.44,201908,17,"        15,663",18,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,26.61,201911,1,"         9,637",19,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,26.61,202002,6,"        11,000",17,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,26.61,202002,20,"        10,130",18,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,24.68,202003,25,"        10,159",11,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,26.61,202003,25,"        10,924",21,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,24.24,202004,2,"        10,000",27,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,31.01,202004,20,"        13,200",24,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,34.44,202005,6,"        14,277",18,2019,동서동2길 60
경상남도 창원마산합포구 신포동2가,23,23,0,마산 웰메이드 시티,26.61,202006,11,"        10,924",11,2019,동서동2길 60
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,201907,22,"         7,702",15,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,201907,24,"         7,851",18,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,201907,24,"         7,800",18,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,201908,28,"         7,560",13,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,201908,28,"         7,560",14,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,201910,8,"         7,800",18,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,201910,14,"         7,800",17,2018,문화의길 15
경상남도 창원마산합포구 오동동,214-7,214,7,고려타워,41.27,201910,15,"         7,940",19,2018,문화의길 15
