시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,90-23,90,23,동남프라자,32.54,201511,5,"         5,100",4,2005,3·15대로 954
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",2,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201603,2,"         7,587",4,2015, 
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201605,10,"        12,550",3,2015, 
경상남도 창원마산회원구 석전동,222-8,222,8,	(222-8)	,30.97,201601,5,"         4,300",3,2000,석전동15길 39
경상남도 창원마산회원구 석전동,222-8,222,8,	(222-8)	,33.06,201603,2,"         3,500",5,2000,석전동15길 39
경상남도 창원마산회원구 석전동,222-8,222,8,	(222-8)	,70.58,201603,5,"         7,500",3,2000,석전동15길 39
경상남도 창원마산회원구 석전동,222-8,222,8,	(222-8)	,33.06,201603,27,"         4,000",5,2000,석전동15길 39
경상남도 창원마산회원구 석전동,239-1,239,1,C.K 밸리 1,46.22,201603,20,"         6,800",2,2004,석전동14길 47
경상남도 창원마산회원구 석전동,258-1,258,1,덕강빌딩,27,201602,18,"         3,200",6,1996,석전동7길 7
경상남도 창원마산회원구 석전동,245-1,245,1,보양엠비션빌,22.8,201510,16,"         4,600",6,2004,양덕서8길 6
경상남도 창원마산회원구 석전동,245-6,245,6,석전오피스텔,55.17,201603,29,"         7,100",10,1996,양덕옛2길 73
경상남도 창원마산회원구 석전동,245-6,245,6,석전오피스텔,21.6,201606,25,"         3,700",11,1996,양덕옛2길 73
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,48.6,201511,13,"        10,700",10,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,163-17,163,17,대력베스트빌,28.43,201604,24,"         6,000",12,2003,양덕동2길 17
경상남도 창원마산회원구 양덕동,174-48,174,48,동원에코빌,43.45,201507,14,"        12,000",8,2013,양덕로 13
경상남도 창원마산회원구 양덕동,174-48,174,48,동원에코빌,47.35,201509,24,"        11,723",5,2013,양덕로 13
경상남도 창원마산회원구 양덕동,174-48,174,48,동원에코빌,43.45,201510,14,"        12,000",8,2013,양덕로 13
경상남도 창원마산회원구 양덕동,174-48,174,48,동원에코빌,30.19,201603,9,"         9,000",7,2013,양덕로 13
경상남도 창원마산회원구 양덕동,153-14,153,14,리첸시아,39.31,201510,2,"         6,400",11,2003,봉양로 13
경상남도 창원마산회원구 양덕동,153-14,153,14,리첸시아,22.68,201602,3,"         4,300",9,2003,봉양로 13
경상남도 창원마산회원구 양덕동,153-5,153,5,비전 스카이,33.23,201508,11,"         8,900",15,2005,해안대로 607
경상남도 창원마산회원구 양덕동,153-5,153,5,비전 스카이,33.23,201508,21,"         8,700",10,2005,해안대로 607
경상남도 창원마산회원구 양덕동,153-5,153,5,비전 스카이,33.23,201510,7,"         8,600",10,2005,해안대로 607
경상남도 창원마산회원구 양덕동,153-5,153,5,비전 스카이,33.23,201510,28,"         8,900",8,2005,해안대로 607
경상남도 창원마산회원구 양덕동,153-5,153,5,비전 스카이,33.23,201602,22,"         8,600",9,2005,해안대로 607
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,25.82,201509,30,"         4,300",3,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,23.4,201510,13,"         4,800",2,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,47.05,201512,27,"         7,850",6,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,28.72,201601,22,"         5,750",3,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,39.8,201602,16,"         6,380",6,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,39.8,201602,26,"         7,800",6,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,33.02,201603,16,"         4,500",4,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,33.02,201603,22,"         4,500",2,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,23.4,201604,14,"         3,100",7,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,153-28,153,28,수피아,83.14,201601,12,"        17,003",2,2012,양덕남9길 20
경상남도 창원마산회원구 양덕동,153-28,153,28,수피아,84.99,201601,29,"        19,385",2,2012,양덕남9길 20
경상남도 창원마산회원구 양덕동,12-18,12,18,신우오피스텔,24.78,201510,12,"         4,300",2,2003,합성옛길 37-3
경상남도 창원마산회원구 양덕동,12-18,12,18,신우오피스텔,24.78,201512,11,"         3,600",7,2003,합성옛길 37-3
경상남도 창원마산회원구 양덕동,12-18,12,18,신우오피스텔,39.16,201601,22,"         6,000",5,2003,합성옛길 37-3
경상남도 창원마산회원구 양덕동,12-18,12,18,신우오피스텔,34.32,201602,2,"         5,000",3,2003,합성옛길 37-3
경상남도 창원마산회원구 양덕동,12-18,12,18,신우오피스텔,24.78,201603,3,"         3,800",7,2003,합성옛길 37-3
경상남도 창원마산회원구 양덕동,153-8,153,8,한진오피스텔,26.07,201510,8,"         4,300",14,1991,합포로 274
경상남도 창원마산회원구 양덕동,153-8,153,8,한진오피스텔,27.64,201601,4,"         3,000",9,1991,합포로 274
경상남도 창원마산회원구 양덕동,153-8,153,8,한진오피스텔,29.57,201601,18,"         3,000",10,1991,합포로 274
경상남도 창원마산회원구 합성동,324-2,324,2,	(324-2)	,56.24,201510,6,"         7,900",4,2003,합성남8길 67
경상남도 창원마산회원구 합성동,324-2,324,2,	(324-2)	,56.24,201601,14,"         7,000",5,2003,합성남8길 67
경상남도 창원마산회원구 합성동,324-2,324,2,	(324-2)	,42.82,201604,30,"         6,800",5,2003,합성남8길 67
경상남도 창원마산회원구 합성동,324-2,324,2,	(324-2)	,30.6,201606,11,"         4,800",3,2003,합성남8길 67
경상남도 창원마산회원구 합성동,133-3,133,3,백화 하이빌,25.27,201509,21,"         5,100",7,1998,3·15대로 828-1
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201601,10,"        19,744",8,2016,회원동서로 8
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201602,25,"        21,704",7,2016,회원동서로 8
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201602,27,"        20,900",8,2016,회원동서로 8
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201603,14,"        20,700",8,2016,회원동서로 8
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201604,22,"        21,000",7,2016,회원동서로 8
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201604,22,"        21,000",6,2016,회원동서로 8
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201605,6,"        21,000",6,2016,회원동서로 8
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201605,27,"        21,000",7,2016,회원동서로 8
경상남도 창원마산회원구 회원동,409-3,409,3,금광아일린,84.28,201606,5,"        21,000",6,2016,회원동서로 8
경상남도 창원마산회원구 회원동,68-4,68,4,신안 시티텔,25.9,201606,3,"         3,485",10,2002,3·15대로 488
경상남도 창원마산회원구 회원동,61-2,61,2,회원동신화하니엘,49.18,201603,18,"        13,350",9,2016, 
