시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 경화동,1165-2,1165,2,	(1165-2)	,59.72,201803,20,"         8,500",4,2012,경화로21번길 37
경상남도 창원진해구 경화동,1165-2,1165,2,	(1165-2)	,59.72,201803,30,"         8,500",3,2012,경화로21번길 37
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,32.61,201801,4,"         3,400",6,2005,충장로273번길 16
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201801,2,"         6,460",5,2014,중원동로 33
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201801,2,"         6,460",9,2014,중원동로 33
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201806,1,"         8,522",7,2014,중원동로 33
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201801,25,"         7,300",10,2015, 
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201801,25,"         7,300",9,2015, 
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201801,25,"         7,300",14,2015, 
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201708,30,"         3,800",2,2003,용원남로7번길 16
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,26.55,201712,18,"         3,500",3,2003,용원남로7번길 16
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201801,29,"         4,050",2,2003,용원남로7번길 16
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,44.25,201709,1,"         5,100",5,2003,충장로364번나길 14
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,32.59,201803,1,"         3,200",5,2003,충장로364번나길 14
경상남도 창원진해구 중평동,1-3,1,3,미소오피스텔,35.27,201707,12,"         3,500",2,2004,중원서로 41-1
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,36.9,201707,22,"         3,500",6,2003,천자로413번길 5
경상남도 창원진해구 화천동,2-4,2,4,로얄스톤2차,42.07,201712,19,"         8,000",2,2014,중원로85번길 23
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201712,18,"         2,500",3,2005,편백로8번길 3-2
