NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 성산구 중앙동,93-1,0093,0001,평화상가오피스텔,41.4900,202012,31,"3,150",8,-,-,1992,중앙대로 111,-,-,-
2,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,41.2000,202012,31,"2,850",5,-,-,1990,용지로 70,-,-,-
3,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,22.0900,202012,30,"4,200",5,-,-,2006,중앙대로 104,-,-,-
4,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202012,30,"28,600",14,-,-,2008,중앙대로 48,-,-,-
5,경상남도 창원시 성산구 중앙동,99-2,0099,0002,창원 중앙 블루힐스,24.4600,202012,29,"7,500",9,-,-,2016,용지로 56,-,-,-
6,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,29.4480,202012,29,"6,500",15,-,-,2006,중앙대로 104,-,-,-
7,경상남도 창원시 성산구 상남동,75-3,0075,0003,창원 디아트리에 오피스텔,29.7200,202012,29,"13,000",14,-,-,2017, ,-,-,-
8,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,178.3700,202012,25,"54,000",8,-,-,2009, 320,-,-,-
9,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,126.0600,202012,24,"39,000",29,-,-,2009, 320,-,-,-
10,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,25.9900,202012,24,"5,000",9,-,-,2006,중앙대로 104,-,-,-
11,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,29.6500,202012,24,"4,100",11,-,-,2003,상남로 35,-,-,-
12,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,26.7300,202012,23,"7,850",6,-,-,2016,상남로 75,-,-,-
