NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202012,29,"35,000",8,-,-,2020,창원대로397번길 11,-,-,-
2,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202012,24,"35,000",11,-,-,2020,창원대로397번길 11,-,-,-
3,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.6001,202012,21,"30,430",19,-,-,2019,중동중앙로 47,-,-,-
4,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202012,18,"35,000",13,-,-,2020,창원대로397번길 11,-,-,-
5,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202012,15,"35,700",19,-,-,2020,창원대로397번길 11,-,-,-
6,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202012,09,"30,920",31,-,-,2019,중동중앙로 47,-,-,-
7,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,22.6421,202012,04,"15,650",10,-,-,2019,중동중앙로 47,-,-,-
8,경상남도 창원시 의창구 소답동,158-6,0158,0006,덕산세안파크,84.5700,202012,02,"13,000",3,-,-,2011,의창대로299번길 3,-,-,-
9,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,22.6421,202011,28,"15,440",18,-,-,2019,중동중앙로 47,-,-,-
10,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202011,24,"29,000",13,-,-,2019,중동중앙로 47,-,-,-
11,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202011,23,"35,000",12,-,-,2020,창원대로397번길 11,-,-,-
12,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.6001,202011,21,"29,510",22,-,-,2019,중동중앙로 47,-,-,-
13,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202011,20,"12,048",2,-,-,2019,용동로57번안길 9-11,-,-,-
14,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202011,20,"13,000",2,-,-,2019,용동로57번안길 9-11,20201130,-,-
15,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.6001,202011,19,"30,430",19,-,-,2019,중동중앙로 47,20201221,-,-
16,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,38.5697,202011,19,"22,210",17,-,-,2019,중동중앙로 47,-,-,-
17,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202011,19,"35,700",16,-,-,2020,창원대로397번길 11,-,-,-
18,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202011,19,"35,700",17,-,-,2020,창원대로397번길 11,-,-,-
