NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 진해구 충무동,28-135,0028,0135,하이존텔,27.7175,202012,29,"2,000",2,-,-,2001,충장로176번길 18,-,-,-
2,경상남도 창원시 진해구 여좌동,760-56,0760,0056,동원베이힐즈,64.4051,202011,20,"18,400",7,-,-,2017, ,-,-,-
3,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,650",9,-,-,2013,용재로 14,20210809,-,-
4,경상남도 창원시 진해구 속천동,7,0007,0000,진해유진에코블루스카이,29.6915,202010,22,"6,150",9,-,-,2015, ,-,-,-
5,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,600",8,-,-,2013,용재로 14,20210809,-,-
6,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,44.7250,202010,22,"7,250",9,-,-,2013,용재로 14,20210809,-,-
7,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,43.1750,202010,22,"7,000",8,-,-,2013,용재로 14,20210809,-,-
8,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,43.7150,202010,22,"7,080",9,-,-,2013,용재로 14,20210809,-,-
9,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,43.7150,202010,22,"7,080",9,-,-,2013,용재로 14,20210809,-,-
10,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,43.7150,202010,22,"7,080",9,-,-,2013,용재로 14,20210809,-,-
11,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,42.0250,202010,22,"6,800",9,-,-,2013,용재로 14,20210809,-,-
12,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,650",9,-,-,2013,용재로 14,20210809,-,-
13,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,650",9,-,-,2013,용재로 14,20210809,-,-
14,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,39.7750,202010,22,"6,500",10,-,-,2013,용재로 14,20210809,-,-
15,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,38.8750,202010,22,"6,380",10,-,-,2013,용재로 14,20210809,-,-
16,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,38.8750,202010,22,"6,380",10,-,-,2013,용재로 14,20210809,-,-
17,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,38.8750,202010,22,"6,400",10,-,-,2013,용재로 14,20210809,-,-
18,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,42.0250,202010,22,"6,900",10,-,-,2013,용재로 14,20210809,-,-
19,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,700",10,-,-,2013,용재로 14,20210809,-,-
20,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,700",10,-,-,2013,용재로 14,20210809,-,-
21,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,700",10,-,-,2013,용재로 14,20210809,-,-
22,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,43.1750,202010,22,"7,000",8,-,-,2013,용재로 14,20210809,-,-
23,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,44.7250,202010,22,"7,200",8,-,-,2013,용재로 14,20210809,-,-
24,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,42.0250,202010,22,"6,800",8,-,-,2013,용재로 14,20210809,-,-
25,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,600",8,-,-,2013,용재로 14,20210809,-,-
26,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,41.0750,202010,22,"6,600",8,-,-,2013,용재로 14,20210809,-,-
27,경상남도 창원시 진해구 용원동,1212-2,1212,0002,벽송수피아빌딩,43.1750,202010,22,"7,000",8,-,-,2013,용재로 14,20210809,-,-
28,경상남도 창원시 진해구 충무동,28-135,0028,0135,하이존텔,25.7850,202010,19,"2,300",6,-,-,2001,충장로176번길 18,-,-,-
29,경상남도 창원시 진해구 풍호동,807-3,0807,0003,토원주택,36.9000,202010,15,"2,500",3,-,-,2003,천자로413번길 5,-,-,-
30,경상남도 창원시 진해구 여좌동,760-56,0760,0056,동원베이힐즈,64.4993,202009,21,"18,000",4,-,-,2017, ,-,-,-
31,경상남도 창원시 진해구 충무동,28-135,0028,0135,하이존텔,27.7175,202009,14,"1,850",4,-,-,2001,충장로176번길 18,20201016,-,-
32,경상남도 창원시 진해구 속천동,7,0007,0000,진해유진에코블루스카이,29.6915,202009,07,"6,500",12,-,-,2015, ,-,-,-
33,경상남도 창원시 진해구 회현동,3-1,0003,0001,하이존텔 3차,25.5875,202009,04,"2,500",2,-,-,2005,편백로8번길 3-2,-,-,-
34,경상남도 창원시 진해구 충의동,8-1,0008,0001,주건축물제1동(8-1),84.4875,202008,19,"12,300",3,-,-,2014,중원로16번길 6,-,-,-
35,경상남도 창원시 진해구 충무동,28-135,0028,0135,하이존텔,23.9700,202008,13,"2,000",3,-,-,2001,충장로176번길 18,-,-,-
