NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202112,29,"13,000",16,-,-,2016, ,-,직거래,-
2,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,28.4300,202112,26,"6,250",13,-,-,2003,양덕동2길 17,-,중개거래,경남 창원마산회원구
3,경상남도 창원시 마산회원구 양덕동,153-28,0153,0028,수피아아파트    ,64.3825,202112,17,"9,700",2,-,-,2012,양덕남9길 20,-,중개거래,경남 창원마산회원구
4,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,53.7200,202112,11,"12,500",9,-,-,2016, ,-,중개거래,경남 창원마산합포구
5,경상남도 창원시 마산회원구 양덕동,150-7,0150,0007,양덕이담채아파트,69.6691,202111,26,"15,000",4,-,-,2019,양덕남8길 40,-,직거래,-
6,경상남도 창원시 마산회원구 합성동,133-3,0133,0003,백화 하이빌,31.5900,202111,26,"5,000",6,-,-,1998,3·15대로 828-1,-,중개거래,경남 창원의창구
7,경상남도 창원시 마산회원구 양덕동,150-7,0150,0007,양덕이담채아파트,69.6691,202111,26,"15,000",3,-,-,2019,양덕남8길 40,-,직거래,-
8,경상남도 창원시 마산회원구 양덕동,150-7,0150,0007,양덕이담채아파트,69.6691,202111,26,"15,000",2,-,-,2019,양덕남8길 40,-,직거래,-
9,경상남도 창원시 마산회원구 회성동,463-10,0463,0010,대송그린빌라트,59.0300,202111,19,"4,200",5,-,-,2003,회성남18길 9,-,직거래,-
10,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,38.5200,202111,19,"5,850",13,-,-,2003,양덕동2길 17,-,중개거래,경남 창원마산회원구
11,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,53.7200,202111,17,"12,000",3,-,-,2016, ,-,직거래,-
12,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202111,17,"6,500",5,-,-,2013,양덕로 13,-,중개거래,경남 창원마산회원구
13,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202111,12,"13,000",9,-,-,2016, ,-,중개거래,경남 창원마산합포구 경남 창원마산회원구
14,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,28.4300,202111,08,"4,500",5,-,-,2003,양덕동2길 17,-,중개거래,경남 창원마산회원구
15,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202111,05,"6,700",7,-,-,2013,양덕로 13,-,중개거래,경남 창원마산회원구 경남 창원의창구
16,경상남도 창원시 마산회원구 양덕동,150-7,0150,0007,양덕이담채아파트,69.6691,202111,03,"16,500",3,-,-,2019,양덕남8길 40,-,중개거래,경남 창원마산회원구
17,경상남도 창원시 마산회원구 회원동,68-4,0068,0004,신안 시티텔,25.9000,202111,03,"4,000",4,-,-,2002,3·15대로 488,-,직거래,-
18,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,49.1800,202111,02,"12,000",9,-,-,2016, ,-,중개거래,경남 창원마산합포구
19,경상남도 창원시 마산회원구 양덕동,153-5,0153,0005,비전 스카이 아파트,33.2300,202110,28,"8,000",11,-,-,2005,해안대로 607,-,-,-
20,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,36.3600,202110,26,"5,600",13,-,-,2003,양덕동2길 17,-,-,-
21,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,53.7200,202110,25,"14,000",9,-,-,2016, ,-,-,-
22,경상남도 창원시 마산회원구 석전동,245-1,0245,0001,보양엠비션빌,22.8000,202110,25,"3,400",6,-,-,2004,양덕서8길 6,-,-,-
23,경상남도 창원시 마산회원구 석전동,245-1,0245,0001,보양엠비션빌,22.8000,202110,21,"3,500",8,-,-,2004,양덕서8길 6,-,-,-
24,경상남도 창원시 마산회원구 양덕동,95-29,0095,0029,성락오피스텔,25.8200,202110,18,"4,250",3,-,-,2004,양덕북4길 56,-,-,-
25,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,53.7200,202110,16,"12,500",7,-,-,2016, ,-,-,-
26,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,22.6800,202109,30,"2,000",7,-,-,2003,봉양로 13,-,-,-
27,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,26.0405,202109,27,"7,100",6,-,-,2018, ,-,-,-
28,경상남도 창원시 마산회원구 양덕동,150-7,0150,0007,양덕이담채아파트,69.6691,202109,15,"16,500",5,-,-,2019,양덕남8길 40,-,-,-
29,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,22.6800,202109,10,"3,300",13,-,-,2003,봉양로 13,-,-,-
30,경상남도 창원시 마산회원구 합성동,324-2,0324,0002,(324-2),32.5600,202109,07,"4,000",6,-,-,2003,합성남8길 67,-,-,-
31,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,53.7200,202109,04,"12,000",18,-,-,2016, ,-,-,-
32,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202108,30,"12,500",11,-,-,2016, ,-,-,-
