NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 진해구 충무동,28-135,0028,0135,하이존텔,23.9700,202112,31,"1,500",4,-,-,2001,충장로176번길 18,-,직거래,-
2,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,26.0405,202112,08,"5,700",9,-,-,2014,중원동로 33,-,중개거래,경남 창원진해구
3,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,28.2649,202112,02,"5,500",9,-,-,2014,중원동로 33,-,중개거래,부산 기장군
4,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,28.2649,202112,02,"5,500",8,-,-,2014,중원동로 33,-,중개거래,부산 기장군
5,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,55.3834,202111,18,"10,300",15,-,-,2014,중원동로 33,-,중개거래,경남 창원진해구
6,경상남도 창원시 진해구 속천동,7,0007,0000,진해유진에코블루스카이,29.6915,202111,09,"6,500",8,-,-,2015, ,-,중개거래,경남 창원진해구
7,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,55.3834,202111,09,"10,200",13,-,-,2014,중원동로 33,-,중개거래,경남 창원진해구
8,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,55.3834,202111,08,"10,400",14,-,-,2014,중원동로 33,-,중개거래,경남 창원진해구
9,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,28.2649,202111,08,"5,500",7,-,-,2014,중원동로 33,20211108,중개거래,부산 기장군
10,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,28.2649,202111,08,"5,500",13,-,-,2014,중원동로 33,20211108,중개거래,부산 기장군
11,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,28.2649,202111,08,"5,500",13,-,-,2014,중원동로 33,-,중개거래,부산 기장군
12,경상남도 창원시 진해구 광화동,26,0026,0000,진해미진이지비아,28.2649,202111,08,"5,500",7,-,-,2014,중원동로 33,-,중개거래,부산 기장군
13,경상남도 창원시 진해구 용원동,1347,1347,0000,다인로얄팰리스 부산 신항2차,47.9999,202111,05,"14,015",21,-,-,2020,신항2로 114,-,중개거래,경남 창원진해구
