NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,24.1300,202212,30,"6,000",13,-,-,2016,상남로 75,-,중개거래,경남 창원성산구
2,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,29.6500,202212,28,"4,550",5,-,-,2003,상남로 35,-,중개거래,경남 창원성산구
3,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,22.0900,202212,28,"5,300",6,-,-,2006,중앙대로 104,-,중개거래,경남 창원성산구
4,경상남도 창원시 성산구 상남동,9-2,0009,0002,상남리더스빌,35.5000,202212,28,"5,000",7,-,-,2002,마디미로9번길 3,-,중개거래,경남 창원성산구
5,경상남도 창원시 성산구 상남동,9-3,0009,0003,메르디앙빌딩,29.5600,202212,27,"3,100",5,-,-,2003,마디미로9번길 7,-,중개거래,경남 창원성산구
6,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,41.2000,202212,21,"3,500",9,-,-,1990,용지로 70,-,중개거래,경남 창원성산구
7,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,20.9400,202212,21,"3,050",7,-,-,2003,중앙대로 75,-,중개거래,경남 창원성산구
8,경상남도 창원시 성산구 상남동,25,0025,0000,네스트빌딩,28.0850,202212,17,"5,300",8,-,-,2003,마디미로38번길 11,-,중개거래,경남 창원성산구
9,경상남도 창원시 성산구 상남동,25,0025,0000,네스트빌딩,22.6250,202212,16,"4,200",8,-,-,2003,마디미로38번길 11,20221221,중개거래,경남 창원성산구
10,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,52.0000,202212,13,"5,800",9,-,-,1990,용지로 70,-,중개거래,경남 창원성산구
11,경상남도 창원시 성산구 상남동,12-6,0012,0006,청솔아트빌,31.9200,202212,13,"3,800",3,-,-,2003,마디미로15번길 9,-,직거래,-
12,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,62.4900,202212,10,"25,000",20,-,-,2016,상남로 75,-,중개거래,경남 창원성산구
13,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,29.6500,202212,01,"4,550",8,-,-,2003,상남로 35,-,중개거래,경남 창원성산구
