NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산합포구 동성동,50,0050,0000,리치클Ⅱ,33.1925,202412,13,"5,100",4,개인,개인,1997,아구찜길 7,-,중개거래,경남 창원시 마산합포구
2,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,28.0000,202412,08,"3,600",3,개인,개인,1999,월영동13길 9,-,중개거래,경남 창원시 마산합포구
3,경상남도 창원시 마산합포구 월영동,598-5,0598,0005,월영동 에드텔,29.2500,202412,05,"2,800",4,개인,개인,2000,밤밭고개로 395,-,중개거래,경남 창원시 마산합포구
4,경상남도 창원시 마산합포구 산호동,316-6,0316,0006,상신크루지움 오피스텔,23.9200,202412,04,"5,900",6,개인,개인,2015,합포로 162,-,중개거래,경남 창원시 성산구
5,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,24.0980,202412,04,"4,300",9,개인,개인,2003,3·15대로 47,-,중개거래,경남 창원시 마산합포구
6,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,24.0980,202412,02,"3,900",2,개인,개인,2003,3·15대로 47,-,중개거래,경남 창원시 마산합포구
7,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,32.7600,202411,29,"2,800",7,개인,개인,2003,노산남7길 28,-,중개거래,경남 창원시 마산합포구
8,경상남도 창원시 마산합포구 산호동,316-6,0316,0006,상신크루지움 오피스텔,23.9200,202411,28,"5,500",9,개인,개인,2015,합포로 162,-,중개거래,경남 창원시 마산합포구
9,경상남도 창원시 마산합포구 자산동,302-38,0302,0038,형제샘터마을,27.3600,202411,27,"2,200",8,개인,개인,2003,자산삼거리로 2-1,-,중개거래,경남 창원시 마산합포구
10,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202411,27,"2,700",8,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시 마산합포구
11,경상남도 창원시 마산합포구 월남동2가,4-1,0004,0001,씨티빌오피스텔,24.2775,202411,27,"1,850",8,개인,개인,2002,3·15대로 77,-,중개거래,경남 창원시 마산합포구
12,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,21.4400,202411,20,"2,800",15,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시 마산합포구
13,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202411,20,"2,700",6,개인,개인,1999,월영동13길 9,-,중개거래,경남 창원시 마산합포구
14,경상남도 창원시 마산합포구 오동동,28-1,0028,0001,오동동 다:숲,57.6246,202411,09,"9,800",2,개인,개인,2017,합포로 99,-,중개거래,경남 창원시 마산합포구
15,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,23.2698,202411,08,"8,000",10,개인,개인,2019,동서동2길 60,-,중개거래,경남 창원시 마산합포구
16,경상남도 창원시 마산합포구 해운동,66-9,0066,0009,휴네콤프라자,27.3600,202411,06,"3,800",8,개인,개인,2004,해안대로 41,-,중개거래,경남 창원시 마산합포구
17,경상남도 창원시 마산합포구 산호동,14-5,0014,0005,(14-5),25.0800,202410,30,"3,000",4,개인,법인,2002,산호북4길 11,-,중개거래,경남 창원시 의창구
18,경상남도 창원시 마산합포구 월영동,275-4,0275,0004,동방하이얏트오피스텔,21.6000,202410,27,"1,600",6,개인,개인,2002,문화남11길 144,-,중개거래,경남 창원시 마산회원구
19,경상남도 창원시 마산합포구 산호동,427-2,0427,0002,기전모닝텔,32.8000,202410,26,"3,400",13,개인,개인,1998,합포남2길 6,-,중개거래,경남 창원시 마산합포구
20,경상남도 창원시 마산합포구 서성동,83-12,0083,0012,(83-12),25.9150,202410,25,"2,180",3,개인,개인,2003,동서남1길 16,-,중개거래,경남 창원시 마산합포구
21,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,23.4500,202410,25,"2,850",11,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시 마산합포구
22,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,24.7440,202410,25,"3,800",8,개인,개인,2017,해안대로 376,-,직거래,-
23,경상남도 창원시 마산합포구 대창동,67,0067,0000,성우유니빌,31.4600,202410,23,"4,100",6,개인,개인,2003,월영북로 61,-,중개거래,경남 창원시 마산합포구
24,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202410,19,"2,500",8,개인,개인,2006,해안대로 367,-,중개거래,경남 창원시 마산합포구
25,경상남도 창원시 마산합포구 산호동,427-2,0427,0002,기전모닝텔,32.8000,202410,18,"3,820",7,개인,개인,1998,합포남2길 6,20241018,중개거래,경남 창원시 마산회원구
26,경상남도 창원시 마산합포구 해운동,42-5,0042,0005,킴즈타운,22.5975,202410,16,"3,400",7,개인,개인,2003,월영동로 7,-,직거래,-
27,경상남도 창원시 마산합포구 자산동,302-38,0302,0038,형제샘터마을,22.3200,202410,14,"1,800",10,개인,개인,2003,자산삼거리로 2-1,-,중개거래,경남 창원시 마산합포구
28,경상남도 창원시 마산합포구 오동동,316-1,0316,0001,상지솔리움,24.5800,202410,12,"3,000",13,개인,개인,2003,해안대로 389,-,중개거래,경남 창원시 마산합포구
29,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,28.0000,202410,12,"2,400",5,개인,개인,2006,해안대로 367,-,중개거래,경남 창원시 마산합포구
30,경상남도 창원시 마산합포구 해운동,58-3,0058,0003,경민시티텔,34.4000,202410,12,"5,900",9,개인,개인,1998,해안대로 97,20241218,중개거래,경남 창원시 마산합포구
31,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,28.0000,202410,04,"3,080",13,개인,개인,1999,월영동13길 9,-,중개거래,경남 창원시 마산합포구
32,경상남도 창원시 마산합포구 오동동,17-150,0017,0150,삼광프리존,27.0075,202410,02,"3,000",10,법인,개인,2003,합포로 102,-,중개거래,경남 창원시 마산합포구
33,경상남도 창원시 마산합포구 오동동,17-150,0017,0150,삼광프리존,27.0075,202410,02,"3,000",8,법인,개인,2003,합포로 102,-,중개거래,경남 창원시 마산합포구
34,경상남도 창원시 마산합포구 신포동2가,85-6,0085,0006,기전씨티텔,37.0800,202410,02,"3,000",4,개인,법인,1998,동서동2길 41,20241014,중개거래,경남 창원시 마산합포구
35,경상남도 창원시 마산합포구 산호동,7-5,0007,0005,동인노블리앙,36.9300,202409,30,"7,000",9,개인,개인,2004,산호북19길 11,-,중개거래,경남 창원시 마산회원구
36,경상남도 창원시 마산합포구 월영동,598-5,0598,0005,월영동 에드텔,29.2500,202409,25,"2,100",5,개인,개인,2000,밤밭고개로 395,-,중개거래,경남 창원시 마산합포구
