NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202412,30,"12,400",7,개인,개인,2019,용동로57번안길 9-11,-,중개거래,경남 창원시 의창구
2,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,22.6421,202412,30,"17,000",16,개인,개인,2019,중동중앙로 47,-,중개거래,경남 창원시 의창구
3,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202412,27,"29,000",37,개인,개인,2019,중동중앙로 47,-,중개거래,경남 창원시 의창구
4,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,44.0343,202412,06,"12,204",4,개인,법인,2019,용동로 45,-,직거래,-
5,경상남도 창원시 의창구 소답동,158-10,0158,0010,(158-10),67.8400,202412,06,"16,500",4,개인,개인,2013,읍성로127번길 11,-,직거래,-
6,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202412,06,"5,709",4,개인,법인,2019,용동로 45,-,직거래,-
7,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202412,06,"6,709",4,개인,법인,2019,용동로 45,-,직거래,-
8,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202412,05,"7,610",6,개인,법인,2019,용동로 45,-,직거래,-
9,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202412,05,"6,845",5,개인,법인,2019,용동로 45,-,직거래,-
10,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202412,04,"6,566",8,개인,법인,2019,용동로 45,-,직거래,-
11,경상남도 창원시 의창구 팔용동,23-6,0023,0006,신화 더 플렉스시티,20.1912,202412,04,"9,500",22,개인,법인,2024,평산로 33,-,중개거래,경남 창원시 의창구
12,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202412,04,"6,630",3,개인,법인,2019,용동로 45,-,직거래,-
13,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202412,04,"7,158",3,개인,법인,2019,용동로 45,-,직거래,-
