시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,비고,lng,lat
경상남도 창원성산구 가음동,3*,다가구,12m미만,231.78,255.2,201508,25,"        53,000",1997.0,가양로52번길,2. 성산구_단독다가구(매매),128.701434677621,35.2056112473538
경상남도 창원성산구 가음동,4*,다가구,12m미만,236.05,257.4,201606,27,"        53,000",1999.0,가음로92번길,2. 성산구_단독다가구(매매),128.701989536521,35.2038448995433
경상남도 창원성산구 가음동,*,다가구,12m미만,381.05,268.7,201604,14,"        70,000",2013.0,가음정로23번길,2. 성산구_단독다가구(매매),128.688616230903,35.2110934281828
경상남도 창원성산구 가음동,*,다가구,12m미만,265.88,269.7,201605,16,"        65,000",2016.0,가음정로11번길,2. 성산구_단독다가구(매매),128.686365223556,35.2111139954395
경상남도 창원성산구 가음동,4*,단독,12m미만,350.01,248.0,201509,24,"        60,000",1997.0,가양로34번길,2. 성산구_단독다가구(매매),128.700328805065,35.2043816621866
경상남도 창원성산구 가음동,3*,단독,12m미만,251.67,261.0,201507,30,"        75,300",2010.0,가음로64번길,2. 성산구_단독다가구(매매),128.701699676536,35.2070130624675
경상남도 창원성산구 가음동,4*,단독,12m미만,256.04,284.1,201604,11,"        59,500",1996.0,가음로92번길,2. 성산구_단독다가구(매매),128.701989536521,35.2038448995433
경상남도 창원성산구 가음동,3*,단독,25m이상,411.16,298.7,201511,27,"        92,000",1997.0,가양로,2. 성산구_단독다가구(매매),128.704290550347,35.2072358925508
경상남도 창원성산구 귀곡동,6**,단독,12m미만,290.63,290.0,201606,13,"        45,540",1998.0,삼귀로,2. 성산구_단독다가구(매매),128.601552722077,35.1628436141988
경상남도 창원성산구 귀산동,5**,단독,8m미만,79.62,196.0,201507,22,"        23,000",1992.0,삼귀로466번길,2. 성산구_단독다가구(매매),128.609844106997,35.1575220094177
경상남도 창원성산구 귀산동,7*,단독,8m미만,56.2,347.0,201602,25,"        17,200",1914.0,귀산로60번길,2. 성산구_단독다가구(매매),128.616247441925,35.166842321122
경상남도 창원성산구 귀산동,5**,단독,8m미만,43.56,575.0,201510,22,"        14,000",1917.0,삼귀로466번길,2. 성산구_단독다가구(매매),128.609844106997,35.1575220094177
경상남도 창원성산구 귀산동,5**,단독,8m미만,211.32,617.0,201511,30,"        47,200",,삼귀로466번길,2. 성산구_단독다가구(매매),128.609844106997,35.1575220094177
경상남도 창원성산구 남양동,2*,다가구,12m미만,325.67,250.4,201507,25,"        54,000",1995.0,가음로57번길,2. 성산구_단독다가구(매매),128.703810424595,35.2084100890501
경상남도 창원성산구 남양동,4*,다가구,12m미만,324.56,258.3,201511,14,"        56,900",1993.0,가음로101번길,2. 성산구_단독다가구(매매),128.704771117608,35.2051747993369
경상남도 창원성산구 남양동,2*,단독,12m미만,331.64,252.8,201601,13,"        47,000",1995.0,가음로57번길,2. 성산구_단독다가구(매매),128.703810424595,35.2084100890501
경상남도 창원성산구 남양동,3*,단독,12m미만,299.6,254.0,201606,1,"        46,000",1996.0,가음로57번길,2. 성산구_단독다가구(매매),128.703810424595,35.2084100890501
경상남도 창원성산구 남양동,3*,단독,12m미만,340.46,273.3,201603,23,"        57,700",1996.0,가음로57번길,2. 성산구_단독다가구(매매),128.703810424595,35.2084100890501
경상남도 창원성산구 남양동,4*,단독,12m미만,359.34,280.8,201508,20,"        52,000",1993.0,가음로101번길,2. 성산구_단독다가구(매매),128.704771117608,35.2051747993369
