시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 가음동,3*,단독,12m미만,228.19,231.6,201901,30,"        53,000",2009,가양로56번길
경상남도 창원성산구 가음동,3*,단독,12m미만,258.38,298.8,201810,1,"        42,500",1996,가양로34번길
경상남도 창원성산구 귀곡동,6**,단독,12m미만,219.18,258,201901,9,"        31,000",1995,삼귀로
경상남도 창원성산구 귀산동,6**,단독,8m미만,247.05,234,201905,20,"        60,000",1996,삼귀로486번길
경상남도 창원성산구 귀산동,4**,단독,12m미만,148.76,1081,201807,17,"       109,830",1935,
경상남도 창원성산구 남양동,3*,단독,12m미만,346.79,245.7,201903,21,"        49,000",1995,가양로98번길
경상남도 창원성산구 반지동,8*,다가구,12m미만,208.64,216.9,201906,28,"        50,500",2014,반지로32번길
경상남도 창원성산구 반지동,5*,다가구,12m미만,244.2,253.8,201810,4,"        67,587",2017,반송로81번길
경상남도 창원성산구 반지동,4*,다가구,12m미만,289.52,297.4,201811,20,"        76,108",2018,반송로41번길
경상남도 창원성산구 반지동,3*,단독,12m미만,171.48,207.9,201905,2,"        32,000",1988,창원천로234번길
경상남도 창원성산구 반지동,1**,단독,12m미만,164.39,215.3,201901,30,"        37,700",1987,원이대로331번길
경상남도 창원성산구 반지동,1**,단독,12m미만,317.45,225.4,201812,17,"        41,000",1992,원이대로331번길
경상남도 창원성산구 반지동,8*,단독,12m미만,103.73,229.6,201905,29,"        27,000",1986,창원천로196번길
경상남도 창원성산구 반지동,1**,단독,12m미만,112.84,229.6,201811,26,"        37,500",1986,창원천로134번길
경상남도 창원성산구 반지동,3*,단독,12m미만,279.08,283.6,201807,10,"        79,818",2017,반송로29번길
경상남도 창원성산구 사파동,6*,다가구,12m미만,219.52,231.3,201903,21,"        50,300",2009,비음로24번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,242.06,243,201809,5,"        70,405",2017,창이대로684번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,234.66,247.3,201904,26,"        43,000",2008,비음로27번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,247.02,248,201906,18,"        69,023",2019,비음로27번길
경상남도 창원성산구 사파동,6*,다가구,12m미만,234.97,249.9,201903,8,"        53,000",2011,창이대로695번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,249.62,250.9,201905,8,"        70,619",2019,동산로176번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,270.92,250.9,201807,27,"        35,750",1990,동산로176번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,199.93,253.1,201810,22,"        33,300",1987,동산로200번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,251.7,253.4,201809,5,"        72,008",2017,동산로200번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,252.68,254.4,201905,9,"        71,172",2018,동산로192번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,253.82,255.6,201809,5,"        72,863",2017,동산로192번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,254.3,257.1,201905,7,"        72,178",2018,창이대로648번길
경상남도 창원성산구 사파동,4*,다가구,12m미만,236.51,257.4,201906,25,"        53,000",2007,창이대로639번길
경상남도 창원성산구 사파동,2*,다가구,12m미만,264.37,264,201812,28,"        48,000",2004,비음로14번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,255.76,267.9,201809,11,"        76,562",2016,비음로27번길
경상남도 창원성산구 사파동,1**,다가구,25m미만,454.67,333.6,201812,23,"       100,500",2016,동산로
경상남도 창원성산구 사파동,3*,단독,12m미만,223.63,248.5,201905,10,"        39,700",1999,비음로27번길
경상남도 창원성산구 사파동,5*,단독,12m미만,366.4,256.7,201904,16,"        59,900",2007,비음로55번길
경상남도 창원성산구 사파동,8*,단독,12m미만,236.99,257.9,201807,25,"        38,900",1999,창이대로719번길
경상남도 창원성산구 사파동,1**,단독,12m미만,233.11,260.3,201810,17,"        37,700",1997,창이대로648번길
경상남도 창원성산구 사파동,3*,단독,12m미만,254.28,260.4,201810,8,"        71,815",2016,비음로27번길
경상남도 창원성산구 사파동,6*,단독,25m미만,233.56,263.3,201902,20,"        66,000",1996,비음로
경상남도 창원성산구 사파동,2*,단독,12m미만,242.69,263.7,201905,16,"        46,000",2004,비음로14번길
경상남도 창원성산구 사파동,1**,단독,12m미만,286.32,278.4,201905,14,"        48,000",1990,동산로176번길
경상남도 창원성산구 사파동,1**,단독,25m미만,141.61,327.9,201904,16,"        45,000",1994,창이대로690번길
경상남도 창원성산구 상남동,8*,다가구,12m미만,360.24,263.5,201906,5,"        45,000",1997,단정로44번길
경상남도 창원성산구 상남동,9*,단독,12m미만,379.53,263.5,201904,29,"        73,000",1998,토월로
경상남도 창원성산구 성주동,1**,다가구,12m미만,268.29,270.1,201812,15,"        77,500",2012,삼정자로51번길
경상남도 창원성산구 성주동,1**,단독,12m미만,387.64,280.6,201905,25,"        98,000",2015,삼정자로52번길
경상남도 창원성산구 안민동,8*,단독,8m미만,76.56,113,201810,17,"        14,500",1994,안민안길11번길
경상남도 창원성산구 안민동,6*,단독,8m미만,102.8,318,201903,4,"        47,000",2012,안민안길30번길
경상남도 창원성산구 중앙동,1**,다가구,12m미만,237.12,248.6,201901,16,"        54,000",2008,용지로21번길
경상남도 창원성산구 중앙동,1*,다가구,12m미만,247.8,249.3,201812,20,"        64,526",2018,외동반림로134번길
