시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원진해구 가주동,1**,단독,8m미만,23,146,201907,2,"         4,100",1925,가주로15번길
경상남도 창원진해구 가주동,6**,단독,8m미만,55.2,360,202002,18,"        27,700",2019,가주로
경상남도 창원진해구 가주동,2**,단독,12m미만,84.88,420,201907,29,"        25,300",1995,가주로
경상남도 창원진해구 가주동,3**,단독,8m미만,24,465,201908,8,"        22,500",2002,
경상남도 창원진해구 경화동,1***,다가구,12m미만,330.71,200.1,201912,20,"        48,000",2014,중초로15번길
경상남도 창원진해구 경화동,1***,다가구,12m미만,441.14,254.2,202005,11,"        78,333",2020,충장로297번길
경상남도 창원진해구 경화동,1***,단독,8m미만,31.74,32.35,202002,25,"         2,000",1938,중초로15번길
경상남도 창원진해구 경화동,9**,단독,12m미만,33.06,44,202002,25,"         2,200",1960,경화로38번길
경상남도 창원진해구 경화동,8**,단독,25m미만,72.73,62,201910,8,"        14,000",1945,경화시장로
경상남도 창원진해구 경화동,2**,단독,8m미만,34.7,76,201912,2,"         4,500",1998,충장로337번길
경상남도 창원진해구 경화동,5**,단독,8m미만,85.76,76,201909,4,"         8,000",1988,충장로305번길
경상남도 창원진해구 경화동,3**,단독,8m미만,50.58,83,202005,29,"         7,000",1967,경화로18번길
경상남도 창원진해구 경화동,6*,단독,12m미만,106.56,89,201909,5,"         8,600",2001,경화로8번길
경상남도 창원진해구 경화동,1***,단독,12m미만,56.55,96.7,201909,18,"         8,800",1983,충장로245번길
경상남도 창원진해구 경화동,1***,단독,8m미만,55.11,99.9,201912,3,"         4,750",1977,경화로37번길
경상남도 창원진해구 경화동,1***,단독,12m미만,106.46,115,202004,1,"        11,000",2001,경화로45번길
경상남도 창원진해구 경화동,1***,단독,8m미만,51.34,117.9,201908,24,"         9,200",1976,경화로37번길
경상남도 창원진해구 경화동,1***,단독,8m미만,68.68,121.5,201912,4,"         7,000",1977,충장로289번길
경상남도 창원진해구 경화동,1***,단독,8m미만,70.02,124.4,202003,25,"         7,300",1979,태백로
경상남도 창원진해구 경화동,1***,단독,8m미만,148.44,132,201908,16,"        13,600",1991,조천북로
경상남도 창원진해구 경화동,1***,단독,8m미만,79.97,139,201912,27,"        10,200",1977,충장로
경상남도 창원진해구 경화동,1***,단독,8m미만,109.68,140.8,202003,21,"         9,000",1979,충장로285번길
경상남도 창원진해구 경화동,3**,단독,12m미만,42.35,152,202005,30,"        14,500",1938,충장로297번길
경상남도 창원진해구 경화동,5**,단독,8m미만,100.02,155,202005,6,"        13,000",1976,경화로25번길
경상남도 창원진해구 경화동,1***,단독,8m미만,72.33,158.5,201908,6,"         9,000",1978,충장로285번길
경상남도 창원진해구 경화동,4**,단독,12m미만,62.58,159,202004,18,"        12,400",1999,경화로21번길
경상남도 창원진해구 경화동,1***,단독,8m미만,134.85,160.6,202003,6,"        12,500",1979,중초로
경상남도 창원진해구 경화동,1***,단독,25m미만,144.03,161.6,202001,6,"        21,500",1985,중초로
경상남도 창원진해구 경화동,1***,단독,12m미만,83.7,171.5,201907,7,"        20,800",2013,중초로23번길
경상남도 창원진해구 경화동,1***,단독,25m이상,158.11,172.5,202002,24,"        20,000",1979,중초로23번길
