□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원의창구 대산면 가술리,5**,단독,8m미만,74.77,217,201911,21,"        17,500",2014,가술산남로
경상남도 창원의창구 대산면 가술리,3**,단독,8m미만,80.47,307,201907,1,"        14,800",1994,주남로483번길
경상남도 창원의창구 대산면 가술리,1***,단독,8m미만,198,330,201907,4,"        17,500",1994,가술산남로127번길
경상남도 창원의창구 대산면 갈전리,5**,단독,8m미만,55.51,354.6,201912,1,"         9,500",1993,대산북로385번길
경상남도 창원의창구 대산면 대방리,4**,단독,8m미만,98.3,199,202004,28,"        14,900",2016,봉강가술로358번길
경상남도 창원의창구 대산면 대방리,4**,단독,8m미만,90.64,226,202004,13,"        12,500",1998,봉강가술로358번길
경상남도 창원의창구 대산면 모산리,2**,단독,12m미만,166.02,251,202004,22,"        12,400",1994,모산길
경상남도 창원의창구 대산면 모산리,3**,단독,8m미만,54.05,410,201912,2,"         6,700",1983,진산대로528번길
경상남도 창원의창구 대산면 북부리,3**,단독,8m미만,52.53,287,202004,25,"         6,300",2001,대산북로893번길
경상남도 창원의창구 대산면 우암리,4**,단독,8m미만,95.22,355,201911,26,"        12,000",2003,진산대로260번길
경상남도 창원의창구 대산면 우암리,7*,단독,8m미만,49.59,387,202004,3,"        10,800",1935,우암로99번길
경상남도 창원의창구 대산면 우암리,3**,단독,8m미만,72,394,202003,26,"        13,100",2003,우암로
경상남도 창원의창구 대산면 우암리,4**,단독,8m미만,98,579,201910,29,"        23,000",2001,우암로99번길
경상남도 창원의창구 대산면 우암리,4**,단독,8m미만,99.44,660,201912,20,"        31,800",2015,진산대로260번길
경상남도 창원의창구 대산면 일동리,4**,단독,8m미만,27.44,107,202003,21,"         2,900",1935,갈전로113번길
경상남도 창원의창구 대산면 일동리,6**,단독,12m미만,254.94,451,201907,31,"        22,800",2011,대산북로524번길
경상남도 창원의창구 대산면 일동리,6**,단독,12m미만,20,454.5,202004,13,"        15,500",2006,대산북로538번길
경상남도 창원의창구 대산면 제동리,3**,단독,8m미만,45.6,119,201909,20,"         9,000",2016,제동길43번길
경상남도 창원의창구 대산면 제동리,4**,단독,8m미만,61.81,200,202002,20,"         6,000",1900,주남로400번길
경상남도 창원의창구 대산면 제동리,4**,단독,8m미만,94.44,324,201909,9,"        15,500",2004,주남로285번길
경상남도 창원의창구 대산면 제동리,2**,단독,8m미만,79.25,645,201909,24,"        30,000",1978,진산대로
경상남도 창원의창구 대산면 제동리,4**,단독,8m미만,77.85,716,202005,16,"        25,000",2009,주남로394번길
경상남도 창원의창구 대원동,*,다가구,8m미만,336.83,200.9,201912,27,"        72,500",2002,대원로82번길
경상남도 창원의창구 대원동,9*,다가구,12m미만,247.1,265.3,202001,6,"        68,000",2010,대원로43번길
