□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 가음동,3*,다가구,12m미만,231.78,255.2,201508,25,"        53,000",1997,가양로52번길
경상남도 창원성산구 가음동,4*,다가구,12m미만,236.05,257.4,201606,27,"        53,000",1999,가음로92번길
경상남도 창원성산구 가음동,*,다가구,12m미만,381.05,268.7,201604,14,"        70,000",2013,가음정로23번길
경상남도 창원성산구 가음동,*,다가구,12m미만,265.88,269.7,201605,16,"        65,000",2016,가음정로11번길
경상남도 창원성산구 가음동,4*,단독,12m미만,350.01,248,201509,24,"        60,000",1997,가양로34번길
경상남도 창원성산구 가음동,3*,단독,12m미만,251.67,261,201507,30,"        75,300",2010,가음로64번길
경상남도 창원성산구 가음동,4*,단독,12m미만,256.04,284.1,201604,11,"        59,500",1996,가음로92번길
경상남도 창원성산구 가음동,3*,단독,25m이상,411.16,298.7,201511,27,"        92,000",1997,가양로
경상남도 창원성산구 귀곡동,6**,단독,12m미만,290.63,290,201606,13,"        45,540",1998,삼귀로
경상남도 창원성산구 귀산동,5**,단독,8m미만,79.62,196,201507,22,"        23,000",1992,삼귀로466번길
경상남도 창원성산구 귀산동,7*,단독,8m미만,56.2,347,201602,25,"        17,200",1914,귀산로60번길
경상남도 창원성산구 귀산동,5**,단독,8m미만,43.56,575,201510,22,"        14,000",1917,삼귀로466번길
경상남도 창원성산구 귀산동,5**,단독,8m미만,211.32,617,201511,30,"        47,200",,삼귀로466번길
경상남도 창원성산구 남양동,2*,다가구,12m미만,325.67,250.4,201507,25,"        54,000",1995,가음로57번길
경상남도 창원성산구 남양동,4*,다가구,12m미만,324.56,258.3,201511,14,"        56,900",1993,가음로101번길
경상남도 창원성산구 남양동,2*,단독,12m미만,331.64,252.8,201601,13,"        47,000",1995,가음로57번길
경상남도 창원성산구 남양동,3*,단독,12m미만,299.6,254,201606,1,"        46,000",1996,가음로57번길
경상남도 창원성산구 남양동,3*,단독,12m미만,340.46,273.3,201603,23,"        57,700",1996,가음로57번길
경상남도 창원성산구 남양동,4*,단독,12m미만,359.34,280.8,201508,20,"        52,000",1993,가음로101번길
경상남도 창원성산구 남양동,4*,단독,12m미만,366.89,291.4,201507,27,"        61,500",1994,가음로101번길
경상남도 창원성산구 대방동,3**,단독,12m미만,427.14,446.3,201509,3,"        89,500",1995,대암로101번길
경상남도 창원성산구 대방동,3**,단독,12m미만,270.21,492.3,201604,27,"        83,000",1996,대암로115번길
경상남도 창원성산구 대방동,3**,단독,12m미만,640.01,519.4,201509,18,"       100,000",1996,대암로105번길
경상남도 창원성산구 대방동,3**,단독,12m미만,302.71,533.4,201509,22,"        90,000",2005,대암로145번길
경상남도 창원성산구 대방동,3**,단독,12m미만,293.3,588.3,201601,21,"        81,000",1997,대암로171번길
