□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 가포동,4**,단독,8m미만,32.53,107,201601,20,"        12,000",1960,가포해안길
경상남도 창원마산합포구 가포동,4**,단독,8m미만,76.59,198,201508,28,"        16,606",1968,가포해안길
경상남도 창원마산합포구 교방동,3**,다가구,12m미만,109.53,102.7,201508,10,"        19,500",1983,교방서6길
경상남도 창원마산합포구 교방동,3**,다가구,12m미만,118.68,118.1,201512,8,"        29,800",1983,교방서5길
경상남도 창원마산합포구 교방동,3**,다가구,12m미만,142.16,133.9,201601,28,"        26,500",1985,교방동1길
경상남도 창원마산합포구 교방동,2**,다가구,8m미만,145.6,136,201512,8,"        14,500",1977,교방동2길
경상남도 창원마산합포구 교방동,3**,다가구,8m미만,659.84,471.8,201512,3,"       159,000",2013,교방북2길
경상남도 창원마산합포구 교방동,1**,단독,12m미만,14.94,36,201601,26,"         9,500",1990,교방동18길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,23.9,41,201603,21,"        13,820",1970,교방동15길
경상남도 창원마산합포구 교방동,6*,단독,8m미만,33.25,43,201605,10,"         7,500",1983,교방동18길
경상남도 창원마산합포구 교방동,2**,단독,8m미만,66.03,46,201511,28,"         8,700",1942,교방천남길
경상남도 창원마산합포구 교방동,3**,단독,8m미만,16.71,47,201606,18,"         7,100",1990,노산서23길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,17.19,63,201601,26,"         5,000",1995,천하장사로
경상남도 창원마산합포구 교방동,1*,단독,8m미만,39.04,63,201507,27,"         6,700",1972,교방동10길
경상남도 창원마산합포구 교방동,2**,단독,8m미만,68.36,63,201606,15,"        10,500",1970,교방천남길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,27.4,66,201509,18,"         9,000",1978,교방동16길
경상남도 창원마산합포구 교방동,3**,단독,12m미만,69.31,70.9,201603,30,"        14,000",1990,교방북2길
경상남도 창원마산합포구 교방동,*,단독,8m미만,49.59,73,201605,10,"         8,700",1940,교방동14길
경상남도 창원마산합포구 교방동,3**,단독,8m미만,20.1,76,201602,19,"        11,500",1989,노산서23길
경상남도 창원마산합포구 교방동,8*,단독,8m미만,58.12,83,201604,29,"        10,600",1990,성호북4길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,51.66,86,201604,5,"        10,300",1962,천하장사로
경상남도 창원마산합포구 교방동,1**,단독,8m미만,41.32,89,201511,24,"         9,500",1976,교방동17길
경상남도 창원마산합포구 교방동,1**,단독,25m미만,110.82,89,201605,25,"        19,700",1991,천하장사로
경상남도 창원마산합포구 교방동,1**,단독,8m미만,50.57,91,201510,26,"        11,000",1978,교방동19길
경상남도 창원마산합포구 교방동,2*,단독,8m미만,42.78,93,201512,29,"        11,000",1981,노산서9길
