□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산회원구 구암동,2*,다가구,12m미만,140.63,123.8,201508,25,"        23,500",1982,구암남5길
경상남도 창원마산회원구 구암동,2*,다가구,12m미만,116.93,125.4,201510,6,"        23,700",1978,구암남6길
경상남도 창원마산회원구 구암동,9*,다가구,8m미만,131.74,127.2,201509,15,"        32,000",1983,구암남15길
경상남도 창원마산회원구 구암동,8*,다가구,25m미만,109.69,127.3,201605,23,"        23,900",1976,팔용로
경상남도 창원마산회원구 구암동,8*,다가구,8m미만,109.69,147.8,201606,12,"        19,000",1985,구암남5길
경상남도 창원마산회원구 구암동,1***,다가구,8m미만,392.92,207.8,201604,27,"        70,000",2011,구암동1길
경상남도 창원마산회원구 구암동,1***,다가구,12m미만,417.11,246,201602,23,"        60,000",2013,구암남21길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,45.75,67.71,201507,7,"         5,000",1976,구암동1길
경상남도 창원마산회원구 구암동,9*,단독,12m미만,88.63,88.5,201510,15,"        28,500",1978,구암남10길
경상남도 창원마산회원구 구암동,2*,단독,25m미만,97.62,92.5,201602,29,"        22,000",2013,구암서1길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,109.9,96.3,201512,11,"        17,850",1983,구암북19길
경상남도 창원마산회원구 구암동,1*,단독,25m미만,53.3,96.9,201511,29,"        18,000",1978,구암서1길
경상남도 창원마산회원구 구암동,1*,단독,8m미만,97.71,98.2,201604,11,"        15,000",1978,구암서1길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,59.31,99,201603,27,"        11,000",1983,구암동1길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,94.65,99,201602,10,"        10,000",1979,구암동6길
경상남도 창원마산회원구 구암동,1*,단독,25m미만,59.43,101.2,201509,17,"        18,100",1979,금강로
경상남도 창원마산회원구 구암동,2**,단독,12m미만,119.06,102.8,201511,9,"        20,300",1983,구암북10길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,109.9,103.2,201508,27,"        15,100",1984,구암북5길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,120.86,104.4,201509,25,"        16,500",1987,구암북19길
경상남도 창원마산회원구 구암동,8*,단독,8m미만,103.08,104.8,201507,1,"        16,200",1985,구암남13길
경상남도 창원마산회원구 구암동,9**,단독,8m미만,113.03,108,201601,13,"        15,000",1982,구암동1길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,118.3,108.3,201509,3,"        14,000",1989,구암북20길
경상남도 창원마산회원구 구암동,8*,단독,25m미만,115.22,110.3,201510,22,"        29,500",1983,팔용로
경상남도 창원마산회원구 구암동,2**,단독,8m미만,63.21,110.7,201605,9,"        17,320",1982,3·15성역로
