□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20160701 ~ 20170630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원진해구 가주동,5**,단독,8m미만,191.53,369,201612,9,"        13,400",1990,가주로
경상남도 창원진해구 가주동,4**,단독,8m미만,154.8,430,201610,31,"        37,000",2000,가주로
경상남도 창원진해구 경화동,8**,다가구,8m미만,418.8,227,201608,20,"        64,400",2012,
경상남도 창원진해구 경화동,8**,단독,25m미만,24,22,201610,26,"         2,500",1990,경화시장로
경상남도 창원진해구 경화동,1***,단독,12m미만,85.14,83.2,201609,29,"        13,000",1991,경화로45번길
경상남도 창원진해구 경화동,1***,단독,8m미만,84.64,86,201705,12,"         4,500",1940,진해대로636번길
경상남도 창원진해구 경화동,1***,단독,12m미만,60.99,94.8,201609,11,"         9,200",1969,충장로235번길
경상남도 창원진해구 경화동,1***,단독,12m미만,60.99,94.8,201705,17,"         9,500",1969,충장로235번길
경상남도 창원진해구 경화동,1***,단독,8m미만,58.97,102.9,201706,28,"         9,200",1982,경화로29번길
경상남도 창원진해구 경화동,1***,단독,8m미만,54.98,103.7,201702,10,"        11,900",1982,충장로249번길
경상남도 창원진해구 경화동,1***,단독,8m미만,55.14,105,201703,25,"         7,000",1976,진해대로597번길
경상남도 창원진해구 경화동,1***,단독,8m미만,59.6,106,201612,20,"        15,500",1985,충장로273번길
경상남도 창원진해구 경화동,1***,단독,8m미만,59.37,107.3,201706,19,"        15,800",1975,충장로285번길
경상남도 창원진해구 경화동,1***,단독,8m미만,114.15,111.9,201702,15,"        15,700",1979,태백로
경상남도 창원진해구 경화동,1***,단독,12m미만,65.07,116,201609,23,"        14,600",1985,경화로21번길
경상남도 창원진해구 경화동,1***,단독,8m미만,69.1,120.2,201610,1,"        12,000",1979,충장로285번길
경상남도 창원진해구 경화동,1***,단독,8m미만,46.61,121.6,201608,5,"         9,500",1969,경화로7번길
경상남도 창원진해구 경화동,1***,단독,8m미만,29.65,122,201704,7,"        12,250",1966,진해대로636번길
경상남도 창원진해구 경화동,1***,단독,8m미만,29.65,122,201609,12,"         9,000",1966,진해대로636번길
경상남도 창원진해구 경화동,1***,단독,8m미만,41.33,129,201611,1,"         7,500",1945,진해대로636번길
경상남도 창원진해구 경화동,1***,단독,8m미만,156.21,130.1,201611,21,"        22,000",1997,중초로29번길
경상남도 창원진해구 경화동,1**,단독,8m미만,49.92,132,201612,13,"        14,000",1976,경화로12번길
경상남도 창원진해구 경화동,1***,단독,8m미만,78.81,132,201704,25,"        11,900",1990,조천북로
경상남도 창원진해구 경화동,6**,단독,8m미만,48,142,201705,7,"        16,000",1938,경화로34번길
경상남도 창원진해구 경화동,1***,단독,12m미만,80.06,143.8,201705,25,"        16,900",1982,경화로21번길
