□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 단독다가구(매매),,,,,주소구분 : 지번 주소,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,
,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,138.90,162.00,202012,31,"16,740",-,-,1976,제황로,-,-,-
2,경상남도 창원시 진해구 남양동,2**,단독,8m미만,59.10,157.80,202012,31,"5,700",-,-,1986,남영로452번길,-,-,-
3,경상남도 창원시 진해구 이동,5**,단독,8m미만,151.02,175.00,202012,30,"19,000",-,-,1989,충장로364번가길,-,-,-
4,경상남도 창원시 진해구 이동,6**,단독,25m미만,81.71,189.20,202012,30,"23,800",-,-,2006,충장로446번길,-,-,-
5,경상남도 창원시 진해구 경화동,1***,단독,8m미만,50.21,95.00,202012,30,"5,500",-,-,1975,경화로7번길,-,-,-
6,경상남도 창원시 진해구 북부동,4**,단독,12m미만,68.49,164.00,202012,29,"10,000",-,-,1971,웅천북로39번길,-,-,-
7,경상남도 창원시 진해구 경화동,9**,단독,8m미만,187.01,149.00,202012,29,"10,000",-,-,1984,경화시장로,-,-,-
8,경상남도 창원시 진해구 경화동,1***,단독,12m미만,71.07,169.30,202012,29,"12,500",-,-,1975,중초로,-,-,-
9,경상남도 창원시 진해구 경화동,1***,단독,25m이상,104.65,102.50,202012,29,"14,000",-,-,1991,진해대로,-,-,-
10,경상남도 창원시 진해구 이동,5**,단독,8m미만,82.58,140.00,202012,29,"15,250",-,-,1988,충장로364번나길,-,-,-
11,경상남도 창원시 진해구 여좌동,1**,단독,25m미만,95.00,54.70,202012,29,"7,000",-,-,1976,여좌남로,-,-,-
12,경상남도 창원시 진해구 여좌동,1**,단독,8m미만,52.80,124.10,202012,28,"10,500",-,-,1900,여좌로56번안길,-,-,-
13,경상남도 창원시 진해구 경화동,1***,단독,12m미만,38.68,96.80,202012,28,"8,500",-,-,1973,중초로23번길,-,-,-
14,경상남도 창원시 진해구 죽곡동,1**,단독,8m미만,74.88,380.00,202012,26,"23,000",-,-,2014,어은로32번길,-,-,-
15,경상남도 창원시 진해구 여좌동,1**,단독,8m미만,64.90,110.40,202012,25,"5,500",-,-,1974,여좌로47번길,-,-,-
16,경상남도 창원시 진해구 용원동,1***,단독,12m미만,132.00,224.60,202012,24,"31,200",-,-,2006,용재로89번길,-,-,-
17,경상남도 창원시 진해구 경화동,1**,단독,8m미만,112.40,152.00,202012,24,"14,100",-,-,1938,충장로305번길,-,-,-
18,경상남도 창원시 진해구 대장동,9*,단독,8m미만,66.15,244.00,202012,22,"16,107",-,-,1996,대장로163번길,-,-,-
