□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2021-01-01 ~ 2021-12-31,,,,실거래 구분 : 단독다가구(매매),,,,,주소구분 : 지번 주소,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,
,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산합포구 추산동,6*,단독,8m미만,21.82,39.70,202112,30,"1,600",-,-,1998,성호남1길,-,직거래,-
2,경상남도 창원시 마산합포구 홍문동,1*,다가구,12m미만,171.96,114.60,202112,29,"28,000",-,-,1997,문화남2길,-,중개거래,경남 창원마산합포구
3,경상남도 창원시 마산합포구 오동동,*,단독,8m미만,32.60,39.70,202112,29,"7,000",-,-,1998,오동동8길,-,직거래,-
4,경상남도 창원시 마산합포구 자산동,1**,단독,8m미만,52.36,106.00,202112,29,"22,500",-,-,1998,자산동3길,-,중개거래,경남 창원마산합포구
5,경상남도 창원시 마산합포구 진동면 요장리,3*,단독,8m미만,81.15,208.00,202112,28,"20,000",-,-,1998,주도해안길,-,중개거래,경남 창원마산합포구
6,경상남도 창원시 마산합포구 진전면 동산리,1**,단독,8m미만,121.23,595.00,202112,28,"23,200",-,-,2013,동산1길,-,중개거래,경남 창원마산합포구
7,경상남도 창원시 마산합포구 수성동,8*,단독,8m미만,44.30,41.60,202112,27,"5,000",-,-,1998,동서북6길,-,직거래,-
8,경상남도 창원시 마산합포구 완월동,1**,다가구,8m미만,306.98,448.00,202112,25,"93,000",-,-,1998,완월서2길,20211227,중개거래,경남 창원성산구
9,경상남도 창원시 마산합포구 완월동,1**,다가구,8m미만,306.98,448.00,202112,25,"93,000",-,-,1998,완월서2길,20211228,중개거래,경남 창원성산구
10,경상남도 창원시 마산합포구 가포동,4**,단독,25m미만,114.25,506.10,202112,24,"64,191",-,-,1998,가포로,20220620,직거래,-
11,경상남도 창원시 마산합포구 자산동,3**,다가구,12m미만,128.42,136.00,202112,24,"16,000",-,-,2003,자산남10길,-,중개거래,경남 창원마산합포구
12,경상남도 창원시 마산합포구 상남동,8*,단독,8m미만,195.25,118.00,202112,23,"36,500",-,-,1997,북성로,-,중개거래,경남 창원마산합포구
13,경상남도 창원시 마산합포구 산호동,5**,단독,8m미만,15.00,26.00,202112,23,"18,000",-,-,1998,합포북8길,-,중개거래,경남 창원마산합포구
14,경상남도 창원시 마산합포구 완월동,2**,단독,8m미만,34.38,53.00,202112,21,"7,300",-,-,1998,완월동4길,-,직거래,-
15,경상남도 창원시 마산합포구 장군동1가,*,단독,8m미만,131.31,133.60,202112,21,"31,000",-,-,1990,중앙남11길,-,중개거래,경남 창원마산합포구
16,경상남도 창원시 마산합포구 완월동,3**,단독,8m미만,51.40,192.00,202112,20,"9,000",-,-,1998,중앙서2길,-,직거래,-
