□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 단독다가구(매매),,,,,주소구분 : 지번 주소,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,
,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산회원구 합성동,8*,단독,12m미만,129.41,200.80,202212,30,"12,000",-,-,1983,금강로,-,직거래,-
2,경상남도 창원시 마산회원구 합성동,1**,단독,12m미만,993.31,425.50,202212,27,"160,000",-,-,2004,합성옛길,-,직거래,-
3,경상남도 창원시 마산회원구 구암동,1***,단독,12m미만,107.92,154.70,202212,07,"24,500",-,-,1986,구암북1길,-,중개거래,경남 창원마산회원구
4,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,129.64,140.30,202212,05,"15,000",-,-,1998,구암북19길,-,중개거래,경남 창원마산회원구
5,경상남도 창원시 마산회원구 회원동,2*,단독,8m미만,41.01,77.40,202212,02,"7,500",-,-,1983,회원동20길,-,직거래,-
6,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,131.63,188.70,202211,30,"36,000",-,-,1987,회원북28길,20230228,중개거래,경남 창원마산회원구
7,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,137.50,126.10,202211,28,"18,800",-,-,1987,구암북1길,-,중개거래,경남 창원의창구
8,경상남도 창원시 마산회원구 내서읍 중리,3**,단독,8m미만,31.40,91.00,202211,25,"5,500",-,-,1992,호원로,-,직거래,-
9,경상남도 창원시 마산회원구 합성동,2**,단독,12m미만,232.78,188.30,202211,24,"80,000",-,-,1986,합성남2길,-,중개거래,경남 창원의창구
10,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,164.44,165.30,202211,17,"14,100",-,-,1984,회원북28길,-,중개거래,경남 창원마산합포구
11,경상남도 창원시 마산회원구 구암동,1*,단독,8m미만,123.51,125.60,202211,16,"22,500",-,-,1980,구암서3길,-,중개거래,경남 창원마산회원구
12,경상남도 창원시 마산회원구 합성동,6*,단독,12m미만,103.96,95.20,202211,04,"11,000",-,-,1980,합성북18길,-,중개거래,경남 창원마산회원구
13,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,112.67,135.20,202210,27,"19,500",-,-,1989,구암북2길,-,중개거래,경남 창원마산회원구
14,경상남도 창원시 마산회원구 내서읍 중리,1***,단독,8m미만,70.93,294.00,202210,27,"12,084",-,-,1952,상동길,-,중개거래,경남 창원마산회원구
15,경상남도 창원시 마산회원구 석전동,2**,단독,12m미만,130.11,123.60,202210,26,"37,500",-,-,1981,석전동6길,20230120,중개거래,경남 창원마산회원구
