□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 단독다가구(매매),,,,,주소구분 : 지번 주소,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,
,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 의창구 대산면 제동리,4**,단독,8m미만,122.33,632.00,202212,30,"35,000",-,-,2014,주남로434번길,-,중개거래,경남 창원의창구
2,경상남도 창원시 의창구 동읍 용잠리,2**,단독,12m미만,152.34,130.00,202212,28,"18,000",-,-,1988,용잠로,-,중개거래,경남 창원의창구
3,경상남도 창원시 의창구 동읍 본포리,1**,단독,8m미만,39.75,160.20,202212,22,"11,200",-,-,2020,동읍로1310번길,-,중개거래,경남 창원의창구
4,경상남도 창원시 의창구 서상동,4**,단독,12m미만,186.55,227.00,202212,21,"33,000",-,-,1984,천주로12번길,-,중개거래,경남 창원의창구
5,경상남도 창원시 의창구 명서동,7*,단독,12m미만,195.40,244.80,202212,21,"45,500",-,-,1989,명지로77번길,-,중개거래,경남 창원의창구
6,경상남도 창원시 의창구 북면 내곡리,7**,단독,8m미만,148.00,335.00,202212,20,"27,420",-,-,1900,무릉산길,-,중개거래,경남 창원의창구
7,경상남도 창원시 의창구 북면 하천리,2**,단독,12m미만,106.50,351.00,202212,16,"15,000",-,-,1998,하천로,-,직거래,-
8,경상남도 창원시 의창구 명서동,1**,단독,12m미만,198.02,259.60,202212,15,"34,900",-,-,1988,명지로122번길,-,중개거래,경남 창원의창구
9,경상남도 창원시 의창구 명서동,8*,단독,12m미만,297.72,230.00,202212,15,"42,000",-,-,2004,우곡로3번길,-,중개거래,경남 창원의창구
10,경상남도 창원시 의창구 대산면 일동리,1**,단독,8m미만,191.61,435.00,202212,08,"25,000",-,-,1997,대산북로524번길,-,중개거래,경남 창원의창구
11,경상남도 창원시 의창구 대산면 일동리,2**,단독,8m미만,27.86,229.00,202212,07,"8,500",-,-,2018,대산북로525번길,-,직거래,-
12,경상남도 창원시 의창구 봉림동,2**,단독,8m미만,197.22,795.00,202212,07,"81,000",-,-,2008,봉곡로93번길,-,중개거래,경남 창원의창구
13,경상남도 창원시 의창구 명서동,6*,단독,12m미만,197.90,265.00,202212,07,"27,000",-,-,1990,명서로89번길,-,중개거래,경남 창원성산구 경남 창원의창구
14,경상남도 창원시 의창구 명서동,4*,단독,12m미만,160.88,242.30,202212,06,"33,000",-,-,1986,원이대로189번길,-,직거래,-
15,경상남도 창원시 의창구 명서동,6*,단독,12m미만,333.71,252.60,202212,02,"26,000",-,-,1990,서곡길,-,직거래,-
