□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 단독다가구(매매),,,,,주소구분 : 지번 주소,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,
,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,134.24,144.60,202312,29,"11,000",-,-,1993,여명로,-,중개거래,경남 창원진해구
2,경상남도 창원시 진해구 덕산동,2*,단독,8m미만,49.59,139.00,202312,26,"8,000",-,-,1967,덕산로,-,직거래,-
3,경상남도 창원시 진해구 경화동,1***,다가구,12m미만,753.64,339.50,202312,21,"130,000",-,-,2010,중초로9번길,-,중개거래,경남 창원진해구
4,경상남도 창원시 진해구 경화동,9**,단독,8m미만,34.21,50.00,202312,19,"5,400",-,-,1945,경화로30번길,-,중개거래,경남 창원성산구 경남 창원진해구
5,경상남도 창원시 진해구 태평동,1*,단독,,100.10,66.10,202312,15,"9,500",-,-,1973,중원로,-,중개거래,경남 창원시진해구
6,경상남도 창원시 진해구 경화동,1***,단독,8m미만,26.30,171.00,202312,12,"6,120",-,-,1968,병암북로3번길,-,직거래,-
7,경상남도 창원시 진해구 여좌동,4*,다가구,8m미만,149.60,135.50,202312,12,"13,300",-,-,1991,여좌로114번길,-,중개거래,경남 창원진해구
8,경상남도 창원시 진해구 경화동,1***,단독,8m미만,78.32,144.30,202312,06,"15,500",-,-,1979,태백로,-,중개거래,경남 창원진해구
9,경상남도 창원시 진해구 풍호동,2**,단독,12m미만,68.60,172.00,202312,06,"18,000",-,-,1968,충장로603번길,-,중개거래,경남 창원진해구
10,경상남도 창원시 진해구 남양동,4*,단독,8m미만,84.33,278.00,202312,01,"20,200",-,-,1995,월남로138번길,-,직거래,-
11,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,29.09,50.60,202312,01,"2,350",-,-,1940,여좌로58번길,-,중개거래,경남 창원진해구
12,경상남도 창원시 진해구 회현동,1*,단독,12m미만,53.79,56.20,202311,29,"3,600",-,-,1938,편백로7번길,-,중개거래,경남 창원진해구
13,경상남도 창원시 진해구 여좌동,1**,단독,8m미만,52.89,123.00,202311,26,"3,000",-,-,1972,여좌천로,-,직거래,-
14,경상남도 창원시 진해구 이동,3**,단독,12m미만,198.93,192.00,202311,22,"24,800",-,-,1992,해원로2번길,-,중개거래,경남 창원진해구
15,경상남도 창원시 진해구 이동,6**,다가구,12m미만,336.10,179.90,202311,21,"53,000",-,-,2014,충장로468번길,-,중개거래,경남 창원진해구
16,경상남도 창원시 진해구 이동,3*,단독,8m미만,52.63,95.00,202311,21,"6,000",-,-,1982,이동로59번길,-,직거래,-
