□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,83.58,201707,13,"         9,400",5,1994,진산대로 437
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,58.32,201707,28,"         7,400",4,1994,진산대로 437
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,84.36,201708,30,"         7,000",9,1994,진산대로 437
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,57.98,201711,8,"         6,000",1,1994,진산대로 437
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,83.58,201803,22,"        10,000",2,1994,진산대로 437
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,120.93,201711,27,"        24,500",1,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201712,18,"        23,500",1,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201801,27,"        20,000",2,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201802,20,"        19,800",8,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201802,21,"        20,200",2,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201803,7,"        17,500",15,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201803,16,"        19,500",6,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,120.93,201804,24,"        21,000",1,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201804,30,"        20,750",6,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,120.93,201805,22,"        20,000",2,1999,창원대로 548
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201801,12,"        27,800",9,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201802,13,"        28,000",4,1999,창원대로 538
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201707,7,"        12,750",9,1997,삼동로 121
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201707,10,"        12,700",10,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201707,21,"        11,800",5,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201707,24,"        11,500",12,1997,삼동로 121
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201708,18,"        11,500",10,1997,삼동로 121
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201708,29,"        11,350",3,1997,삼동로 125
