□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 가포동,508-47,0508,0047,건화그린맨션,77.15,201709,16,"         9,200",5,1992,가포로 176-45
경상남도 창원마산합포구 가포동,508-47,0508,0047,건화그린맨션,84.52,201801,14,"         9,100",6,1992,가포로 176-45
경상남도 창원마산합포구 가포동,508-47,0508,0047,건화그린맨션,84.69,201801,15,"        10,000",1,1992,가포로 176-45
경상남도 창원마산합포구 가포동,508-47,0508,0047,건화그린맨션,77.15,201803,17,"        10,000",8,1992,가포로 176-45
경상남도 창원마산합포구 교방동,376-1,0376,0001,교방,40.68,201708,5,"         6,680",3,1985,교방서1길 25
경상남도 창원마산합포구 교방동,170-3,0170,0003,대림하이츠빌라,144.09,201712,1,"        23,000",2,1992,문신길 7
경상남도 창원마산합포구 교방동,170-3,0170,0003,대림하이츠빌라,150.66,201806,5,"        14,200",5,1992,문신길 7
경상남도 창원마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,84.9308,201803,16,"        26,750",12,2009,교방시장2길 9
경상남도 창원마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,84.9935,201806,5,"        24,500",12,2009,교방시장2길 9
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,59.8613,201707,3,"        23,000",6,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201707,17,"        36,500",20,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,201708,21,"        26,900",1,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201709,7,"        38,000",2,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,59.8613,201710,28,"        24,000",14,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,201712,6,"        25,000",3,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,201801,18,"        24,000",19,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201803,6,"        37,000",11,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201804,4,"        34,500",4,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,201804,4,"        24,500",19,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,59.8613,201804,9,"        20,200",6,2009,노산서18길 142
