□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,1335,1335,0000,경남(1335),48.015,201801,22,"        10,100",1,1985,소계천서길 49
경상남도 창원마산회원구 구암동,1335,1335,0000,경남(1335),48.015,201806,4,"        11,000",2,1985,소계천서길 49
경상남도 창원마산회원구 구암동,1336-1,1336,0001,경남(1336),52.4175,201804,7,"        12,000",1,1986,소계천서길 59
경상남도 창원마산회원구 구암동,28-5,0028,0005,경남(28-5),42.81,201801,6,"         6,400",3,1980,구암남3길 33
경상남도 창원마산회원구 구암동,28-5,0028,0005,경남(28-5),42.81,201802,3,"         7,900",3,1980,구암남3길 33
경상남도 창원마산회원구 구암동,18-2,0018,0002,교직원,66.69,201711,14,"        11,800",1,1977,구암서5길 15
경상남도 창원마산회원구 구암동,18-2,0018,0002,교직원,66.69,201805,2,"        10,800",5,1977,구암서5길 15
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201707,5,"        20,700",3,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201708,25,"        16,700",8,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201710,22,"        20,400",6,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201710,27,"        17,000",14,1998,구암남14길 18
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201710,30,"        16,900",11,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201712,23,"        20,500",10,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201802,7,"        16,600",4,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201802,9,"        14,800",3,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201803,12,"        15,000",9,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201803,17,"        16,700",13,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201803,22,"        15,000",9,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201804,25,"        21,000",20,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201806,27,"        15,500",17,1998,구암남14길 18
경상남도 창원마산회원구 구암동,28-1,0028,0001,구암대동2,84.78,201712,4,"        23,000",19,2000,구암남6길 50
경상남도 창원마산회원구 구암동,28-1,0028,0001,구암대동2,59.925,201802,3,"        16,700",5,2000,구암남6길 50
