□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20160701 ~ 20170630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 경화동,904-2,0904,0002,경화,52.29,201610,28,"         7,400",4,1985,경화시장로 34-3
경상남도 창원진해구 경화동,904-2,0904,0002,경화,52.29,201610,29,"         6,500",5,1985,경화시장로 34-3
경상남도 창원진해구 경화동,904-2,0904,0002,경화,59.04,201703,27,"        10,000",1,1985,경화시장로 34-3
경상남도 창원진해구 경화동,904-2,0904,0002,경화,59.04,201704,28,"        10,000",3,1985,경화시장로 34-3
경상남도 창원진해구 경화동,904-2,0904,0002,경화,52.29,201706,24,"         9,000",2,1985,경화시장로 34-3
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.93,201607,28,"        20,600",1,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201608,13,"        23,400",5,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201608,29,"        19,600",1,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201609,1,"        21,300",8,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201609,9,"        21,400",12,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.93,201609,27,"        22,500",4,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201610,1,"        22,000",8,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.93,201610,15,"        21,000",2,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201610,21,"        21,500",15,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201610,24,"        24,600",13,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.93,201610,27,"        20,900",3,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201612,11,"        21,900",12,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201612,26,"        21,200",7,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.93,201701,9,"        24,500",15,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201701,16,"        21,000",5,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201701,18,"        20,100",3,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.94,201702,21,"        22,000",10,2005,조천북로 65
경상남도 창원진해구 경화동,1400,1400,0000,경화동더샵,84.93,201703,4,"        20,000",6,2005,조천북로 65
