□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.9900,202012,31,"10,200",-,6,-,-,1998,삼계10길 22,-,-,-,-,아파트
2,경상남도 창원시 마산회원구 합성동,358,0358,0000,롯데캐슬더퍼스트,84.9874,202012,31,"44,900",-,25,-,-,2018,합성북16길 197,-,-,-,-,아파트
3,경상남도 창원시 마산회원구 합성동,694-1,0694,0001,무학,54.3400,202012,31,"8,650",-,4,-,-,1987,금강로 35,-,-,-,-,아파트
4,경상남도 창원시 마산회원구 내서읍 중리,1036,1036,0000,동신2,84.9900,202012,31,"14,000",-,6,-,-,1996,중리상곡로 134,-,-,-,-,아파트
5,경상남도 창원시 마산회원구 양덕동,888-1,0888,0001,우성,84.7200,202012,31,"21,000",-,6,-,-,1998,양덕옛2길 16,-,-,-,-,아파트
6,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,84.9590,202012,31,"15,000",-,14,-,-,2001,호원로 361-3,-,-,-,-,아파트
7,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6825,202012,31,"33,900",-,14,-,-,2019,석전남8길 40,-,-,-,-,아파트
8,경상남도 창원시 마산회원구 구암동,87,0087,0000,구암대동,84.9900,202012,30,"17,200",-,20,-,-,1998,구암남14길 18,-,-,-,-,아파트
9,경상남도 창원시 마산회원구 양덕동,74-1,0074,0001,한일타운,131.4400,202012,30,"27,500",-,16,-,-,1994,양덕옛2길 58,-,-,-,-,아파트
10,경상남도 창원시 마산회원구 내서읍 호계리,333-1,0333,0001,보라맨션,58.8300,202012,30,"5,900",-,3,-,-,1992,광려천북로 90,-,-,-,-,아파트
11,경상남도 창원시 마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2단지,59.9841,202012,30,"11,500",-,18,-,-,2003,광려로 29,20210128,-,-,-,아파트
12,경상남도 창원시 마산회원구 내서읍 상곡리,67,0067,0000,삼계서진,39.9000,202012,30,"6,000",-,10,-,-,1997,경남대로 1019,-,-,-,-,아파트
13,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6825,202012,30,"33,000",-,8,-,-,2019,석전남8길 40,-,-,-,-,아파트
