□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산합포구 산호동,18-1,0018,0001,삼성타운,59.6100,202012,31,"11,500",-,18,-,-,1996,산호북1길 15,-,-,-,-,아파트
2,경상남도 창원시 마산합포구 오동동,322,0322,0000,중앙마린파이브아파트,84.6822,202012,31,"25,500",-,7,-,-,2014,오동동14길 67,-,-,-,-,아파트
3,경상남도 창원시 마산합포구 신포동1가,76,0076,0000,마산만I'PARK,84.9607,202012,31,"30,600",-,4,-,-,2010,제2부두로 17,-,-,-,-,아파트
4,경상남도 창원시 마산합포구 신포동1가,76,0076,0000,마산만I'PARK,84.9607,202012,31,"31,500",-,5,-,-,2010,제2부두로 17,-,-,-,-,아파트
5,경상남도 창원시 마산합포구 현동,608,0608,0000,창원현동하늘채,59.9790,202012,31,"18,300",-,19,-,-,2018,현동9길 13,-,-,-,-,아파트
6,경상남도 창원시 마산합포구 월영동,704-1,0704,0001,현대건설1차,84.9700,202012,31,"16,000",-,18,-,-,1998,월영마을로 12,-,-,-,-,아파트
7,경상남도 창원시 마산합포구 월영동,704-1,0704,0001,현대건설1차,59.7000,202012,31,"11,400",-,16,-,-,1998,월영마을로 12,-,-,-,-,아파트
8,경상남도 창원시 마산합포구 진동면 진동리,424,0424,0000,마산진동협성엠파이어,71.6764,202012,31,"17,500",-,19,-,-,2014,진북산업로 55,-,-,-,-,아파트
9,경상남도 창원시 마산합포구 산호동,332,0332,0000,국제비치타운,59.1000,202012,31,"13,000",-,15,-,-,1996,합포동5길 23,-,-,-,-,아파트
10,경상남도 창원시 마산합포구 현동,608,0608,0000,창원현동하늘채,59.9790,202012,30,"18,000",-,1,-,-,2018,현동9길 13,-,-,-,-,아파트
11,경상남도 창원시 마산합포구 현동,608,0608,0000,창원현동하늘채,59.9790,202012,30,"19,200",-,13,-,-,2018,현동9길 13,-,-,-,-,아파트
12,경상남도 창원시 마산합포구 현동,700,0700,0000,중흥S클래스프라디움3차,84.9841,202012,30,"25,800",-,11,-,-,2017,현동1길 8,-,-,-,-,아파트
13,경상남도 창원시 마산합포구 진동면 진동리,424,0424,0000,마산진동협성엠파이어,84.9789,202012,30,"20,300",-,14,-,-,2014,진북산업로 55,-,-,-,-,아파트
