□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.5002,202012,31,"34,438",-,11,-,-,2019,감계로 342,20210128,-,-,-,아파트
2,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202012,31,"25,866",-,8,-,-,2019,감계로 342,-,-,-,-,아파트
3,경상남도 창원시 의창구 서상동,453,0453,0000,의창빌라,79.9600,202012,31,"10,000",-,5,-,-,1999,서상로 68,-,-,-,-,아파트
4,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.5002,202012,31,"34,438",-,11,-,-,2019,감계로 342,-,-,-,-,아파트
5,경상남도 창원시 의창구 도계동,329,0329,0000,한마음코아,49.4400,202012,31,"10,800",-,8,-,-,1992,도계로50번길 6-46,-,-,-,-,아파트
6,경상남도 창원시 의창구 북면 신촌리,960-1,0960,0001,신한2,84.8700,202012,31,"8,800",-,3,-,-,1998,천주로 1103,-,-,-,-,아파트
7,경상남도 창원시 의창구 북면 신촌리,995-1,0995,0001,대호,59.8300,202012,30,"5,600",-,8,-,-,1998,천주로 1053,-,-,-,-,아파트
8,경상남도 창원시 의창구 동읍 용정리,20-3,0020,0003,성진까치빌라트2,58.0200,202012,30,"5,000",-,6,-,-,1993,용정길46번길 35,-,-,-,-,아파트
9,경상남도 창원시 의창구 소답동,112-1,0112,0001,영남보화맨션,53.5200,202012,30,"7,000",-,1,-,-,1993,의안로8번길 3,-,-,-,-,아파트
10,경상남도 창원시 의창구 북면 무동리,104-1,0104,0001,창원무동STX칸1차,84.9900,202012,29,"20,000",-,12,-,-,2015,무동서로 76,20210129,-,-,-,아파트
11,경상남도 창원시 의창구 북면 신촌리,905-6,0905,0006,신우,60.0000,202012,29,"7,800",-,7,-,-,1999,신촌본포로 12-10,-,-,-,-,아파트
12,경상남도 창원시 의창구 소답동,128-6,0128,0006,소답진보그린빌라나,80.5600,202012,29,"13,000",-,1,-,-,1994,의안로62번길 31,-,-,-,-,아파트
13,경상남도 창원시 의창구 동정동,305-3,0305,0003,무학,79.6600,202012,28,"13,500",-,8,-,-,1990,의창대로139번길 23,-,-,-,-,아파트
