□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 진해구 풍호동,83-77,0083,0077,한림리츠빌,84.9833,202012,31,"28,000",-,14,-,-,2005,풍호로 68,-,-,-,-,아파트
2,경상남도 창원시 진해구 풍호동,83-77,0083,0077,한림리츠빌,131.6411,202012,31,"31,800",-,1,-,-,2005,풍호로 68,-,-,-,-,아파트
3,경상남도 창원시 진해구 풍호동,83-3,0083,0003,우성,77.0600,202012,31,"12,700",-,2,-,-,1993,충장로 575,-,-,-,-,아파트
4,경상남도 창원시 진해구 장천동,119-12,0119,0012,진해장천대동다:숲,122.0641,202012,31,"33,700",-,4,-,-,2007,행암로 25,-,-,-,-,아파트
5,경상남도 창원시 진해구 용원동,1208,1208,0000,일신님,101.7235,202012,31,"26,000",-,15,-,-,2005,안골로 359,20220128,-,-,-,아파트
6,경상남도 창원시 진해구 이동,418-1,0418,0001,남흥,84.9600,202012,31,"13,900",-,4,-,-,1991,해원로 5,-,-,-,-,아파트
7,경상남도 창원시 진해구 남문동,1256-1,1256,0001,시티프라디움2차,84.9908,202012,31,"30,900",-,18,-,-,2017,웅천동로 100,-,-,-,-,아파트
8,경상남도 창원시 진해구 경화동,1388,1388,0000,대동다:숲,84.9950,202012,31,"19,500",-,5,-,-,2006,조천북로 79,-,-,-,-,아파트
9,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,49.8420,202012,31,"8,300",-,9,-,-,2003,안청북로 15,-,-,-,-,아파트
10,경상남도 창원시 진해구 자은동,114,0114,0000,창원자은에일린의뜰,114.7900,202012,31,"42,800",-,10,-,-,2017,냉천로 235,-,-,-,-,아파트
11,경상남도 창원시 진해구 남문동,1256-2,1256,0002,진해남문하우스디,84.9223,202012,31,"26,480",-,4,-,-,2019,웅천동로106번길 20,-,-,-,-,아파트
12,경상남도 창원시 진해구 풍호동,305-8,0305,0008,창원마린푸르지오1단지,84.9626,202012,31,"43,000",-,12,-,-,2015,천자로 386,-,-,-,-,아파트
13,경상남도 창원시 진해구 자은동,663,0663,0000,협성DS.이아이존빌,59.9315,202012,30,"22,000",-,9,-,-,2014,풍호로35번길 11,-,-,-,-,아파트
14,경상남도 창원시 진해구 경화동,1334,1334,0000,경화동두산위브,59.9236,202012,30,"27,000",-,14,-,-,2017,조천로 30,-,-,-,-,아파트
