□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2021-01-01 ~ 2021-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산합포구 신포동2가,54,0054,0000,삼익,62.6400,202112,31,"15,500",-,12,-,-,1979,서성로 43,-,중개거래,경남 창원마산합포구,-,아파트
2,경상남도 창원시 마산합포구 현동,210,0210,0000,중흥S클래스프라디움1차,84.9900,202112,31,"27,000",-,12,-,-,2014,현동4길 20,-,직거래,-,-,아파트
3,경상남도 창원시 마산합포구 교방동,379-5,0379,0005,수영,54.9000,202112,31,"13,000",-,5,-,-,1986,무학로 504,-,중개거래,경남 창원마산합포구,-,아파트
4,경상남도 창원시 마산합포구 월영동,708-1,0708,0001,현대3,59.9800,202112,31,"18,300",-,10,-,-,1998,월영마을로 27,-,중개거래,경남 창원마산합포구,-,아파트
5,경상남도 창원시 마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,84.9937,202112,31,"25,400",-,16,-,-,2016,문화북1길 65,-,중개거래,경남 창원마산합포구,-,아파트
6,경상남도 창원시 마산합포구 교원동,46,0046,0000,무학자이,128.3853,202112,30,"40,000",-,9,-,-,2011,노산서18길 19,-,직거래,-,-,아파트
7,경상남도 창원시 마산합포구 교방동,378-9,0378,0009,신우빌라,82.2200,202112,30,"16,900",-,4,-,-,1992,교방동1길 19,-,중개거래,경남 창원마산합포구,-,아파트
8,경상남도 창원시 마산합포구 해운동,48,0048,0000,해오름,84.9729,202112,30,"21,000",-,5,-,-,2005,월영동11길 57,-,직거래,-,-,아파트
9,경상남도 창원시 마산합포구 신포동1가,76,0076,0000,마산만I'PARK,84.9607,202112,29,"52,200",-,22,-,-,2010,제2부두로 17,-,중개거래,경남 창원마산합포구 경남 창원마산회원구,-,아파트
10,경상남도 창원시 마산합포구 신포동1가,76,0076,0000,마산만I'PARK,84.9607,202112,29,"53,000",-,22,-,-,2010,제2부두로 17,20220311,중개거래,경남 창원마산합포구 경남 창원마산회원구,-,아파트
11,경상남도 창원시 마산합포구 자산동,326-2,0326,0002,한우아파트,48.9700,202112,29,"9,600",-,4,-,-,1986,자산솔밭로 52,-,중개거래,경남 창원마산합포구,-,아파트
12,경상남도 창원시 마산합포구 오동동,322,0322,0000,중앙마린파이브아파트,70.1442,202112,29,"33,000",-,22,-,-,2014,오동동14길 67,-,중개거래,경남 창원마산합포구,-,아파트
