□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산회원구 내서읍 삼계리,506,0506,0000,숲속마을주공그린빌4단지,84.5500,202212,31,"22,700",-,11,-,-,2002,숲속로 8,-,중개거래,경남 창원마산회원구,-,아파트
2,경상남도 창원시 마산회원구 양덕동,5-2,0005,0002,경남아파트2동3동,84.1350,202212,31,"14,250",-,8,-,-,1992,양덕동17길 22,-,중개거래,경남 창원마산회원구,-,아파트
3,경상남도 창원시 마산회원구 구암동,28-5,0028,0005,경남(28-5),42.8100,202212,31,"7,650",-,4,-,-,1980,구암남3길 33,-,중개거래,경남 창원마산회원구,-,아파트
4,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,84.9450,202212,31,"12,400",-,3,-,-,1992,호원로 186-1,-,중개거래,경남 창원마산회원구,-,아파트
5,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,103.9320,202212,31,"33,000",-,19,-,-,2005,호원로 359,-,중개거래,경남 창원마산회원구,-,아파트
6,경상남도 창원시 마산회원구 내서읍 호계리,790-23,0790,0023,국제한마음,91.7400,202212,29,"12,500",-,12,-,-,1992,호계본동로 38,-,중개거래,경남 창원마산회원구,-,아파트
7,경상남도 창원시 마산회원구 내서읍 삼계리,508-1,0508,0001,숲속마을(6단지),59.8500,202212,29,"15,500",-,13,-,-,2002,숲속로 27,-,중개거래,경남 창원마산회원구,-,아파트
8,경상남도 창원시 마산회원구 회원동,313,0313,0000,e-편한세상창원파크센트럴,59.8849,202212,28,"37,000",-,21,-,-,2020,회원남로 65,-,직거래,-,-,아파트
9,경상남도 창원시 마산회원구 회원동,313,0313,0000,e-편한세상창원파크센트럴,103.2221,202212,28,"44,000",-,2,-,-,2020,회원남로 65,20230109,직거래,-,-,아파트
10,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6825,202212,26,"26,000",-,16,-,-,2019,석전남8길 40,-,직거래,-,-,아파트
11,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.6200,202212,26,"12,000",-,5,-,-,1998,삼계10길 22,-,중개거래,경남 창원마산회원구,-,아파트
12,경상남도 창원시 마산회원구 구암동,13-7,0013,0007,석보,43.0600,202212,26,"8,000",-,5,-,-,1983,구암서6길 36,-,직거래,-,-,아파트
