□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 성산구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 성산구 남양동,23,0023,0000,위드파크아파트,53.8200,202212,31,"18,300",-,5,-,-,1998,가양로 99,-,중개거래,경남 창원성산구,-,아파트
2,경상남도 창원시 성산구 가음동,13,0013,0000,창원가음한화꿈에그린,84.9763,202212,31,"52,200",-,23,-,-,2017,원이대로878번길 9,-,중개거래,경남 창원성산구,-,아파트
3,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202212,31,"10,300",-,4,-,-,1992,대암로 126,-,중개거래,경남 창원성산구,-,아파트
4,경상남도 창원시 성산구 반지동,24,0024,0000,까치2차,54.0900,202212,30,"14,500",-,11,-,-,1991,창원천로 256,-,중개거래,경남 창원성산구,-,아파트
5,경상남도 창원시 성산구 가음동,16,0016,0000,창원더샵센트럴파크2단지,84.8797,202212,30,"54,000",-,20,-,-,2017,원이대로863번길 19,-,중개거래,경남 창원성산구,-,아파트
6,경상남도 창원시 성산구 용호동,69,0069,0000,용지더샵레이크파크,84.4750,202212,30,"76,000",-,20,-,-,2017,외동반림로 156,-,중개거래,경남 창원성산구,-,아파트
7,경상남도 창원시 성산구 안민동,143-7,0143,0007,신우에이스타운,59.7600,202212,30,"12,700",-,2,-,-,1999,안민안길 8,-,중개거래,경남 창원성산구,-,아파트
8,경상남도 창원시 성산구 용호동,66,0066,0000,일동,59.6100,202212,30,"33,000",-,5,-,-,1986,외동반림로 216,-,중개거래,경남 창원성산구,-,아파트
9,경상남도 창원시 성산구 반림동,8,0008,0000,럭키,59.2200,202212,30,"24,000",-,8,-,-,1989,반송로 105,-,중개거래,경남 창원성산구,-,아파트
10,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202212,30,"12,500",-,11,-,-,1992,대암로 126,-,직거래,-,-,아파트
11,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,84.9500,202212,29,"54,000",-,1,-,-,2006,원이대로 495,-,직거래,-,-,아파트
12,경상남도 창원시 성산구 대방동,358,0358,0000,대동,49.9400,202212,29,"16,000",-,16,-,-,1992,대정로 142,-,중개거래,경남 창원성산구,-,아파트
13,경상남도 창원시 성산구 가음동,12,0012,0000,창원센텀푸르지오,73.7334,202212,29,"50,000",-,14,-,-,2018,가음정로 59,-,중개거래,경남 창원성산구,-,아파트
