□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 진해구 석동,551-1,0551,0001,진해석동푸르지오,84.9790,202212,31,"27,800",-,4,-,-,2006,진해대로 727,20230202,중개거래,경남 창원진해구,-,아파트
2,경상남도 창원시 진해구 풍호동,744,0744,0000,풍호주공,39.6900,202212,31,"7,500",-,1,-,-,1990,동진로 166,-,중개거래,경남 창원진해구,-,아파트
3,경상남도 창원시 진해구 풍호동,83-101,0083,0101,디에스아이존빌,84.6070,202212,30,"21,000",-,1,-,-,2002,풍호로42번길 15,-,직거래,-,-,아파트
4,경상남도 창원시 진해구 마천동,246,0246,0000,진해신항만경남아너스빌,84.8201,202212,30,"16,800",-,4,-,-,2008,마천로 50,-,중개거래,경남 창원진해구,-,아파트
5,경상남도 창원시 진해구 용원동,1338-2,1338,0002,부산신항만이지더원1단지,84.8926,202212,28,"27,000",-,20,-,-,2014,신항동로 143,-,중개거래,경남 창원진해구,-,아파트
6,경상남도 창원시 진해구 석동,675,0675,0000,우림필유,84.9900,202212,28,"38,000",-,1,-,-,2008,해원로 45,-,직거래,-,-,아파트
7,경상남도 창원시 진해구 자은동,125,0125,0000,자은중흥에스-클래스,84.8605,202212,28,"34,000",-,4,-,-,2017,냉천로 262,-,중개거래,경남 창원진해구,-,아파트
8,경상남도 창원시 진해구 풍호동,305-8,0305,0008,창원마린푸르지오1단지,84.9626,202212,28,"44,000",-,3,-,-,2015,천자로 386,-,직거래,-,-,아파트
9,경상남도 창원시 진해구 이동,520-4,0520,0004,보람더좋은퍼스트,49.7815,202212,27,"12,400",-,7,-,-,2014,병암로7번길 8-25,-,중개거래,경남 창원진해구,-,아파트
10,경상남도 창원시 진해구 남문동,1293-1,1293,0001,남문호반베르디움,71.9910,202212,26,"25,200",-,23,-,-,2018,웅천동로43번길 19,-,중개거래,경남 창원진해구,-,아파트
11,경상남도 창원시 진해구 석동,551-1,0551,0001,진해석동푸르지오,84.9790,202212,26,"24,000",-,1,-,-,2006,진해대로 727,-,중개거래,경남 창원진해구,-,아파트
12,경상남도 창원시 진해구 석동,90-1,0090,0001,석동주공,32.7600,202212,26,"9,500",-,5,-,-,1991,냉천로 52,-,직거래,-,-,아파트
