□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 의창구 동읍 용정리,20-13,0020,0013,성진까치빌라트5,82.9800,202312,30,"11,500",1,15,-,-,1997,용정길46번길 53,-,중개거래,경남 창원시의창구,24.03.08,아파트
2,경상남도 창원시 의창구 북면 감계리,231-10,0231,0010,창원감계힐스테이트2차,84.1129,202312,30,"35,000",210,4,-,-,2017,감계로 341,-,중개거래,경남 창원시의창구,24.02.19,아파트
3,경상남도 창원시 의창구 북면 감계리,227-1,0227,0001,창원감계힐스테이트3차,84.7395,202312,30,"28,500",303,11,-,-,2014,감계로 259,-,중개거래,경남 창원시의창구,24.02.15,아파트
4,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,78.9805,202312,30,"31,200",413동,24,-,-,2017,감계로 233,-,중개거래,"경남 창원시의창구, 울산 중구",24.02.15,아파트
5,경상남도 창원시 의창구 동읍 용잠리,372-1,0372,0001,원창호수,72.0000,202312,29,"10,000",102,1,-,-,2001,의창대로 856,-,직거래,-,24.01.03,아파트
6,경상남도 창원시 의창구 북면 무동리,122-1,0122,0001,휴먼빌2단지,84.9900,202312,29,"18,500",203,3,-,-,2013,동곡로 35,-,직거래,-,24.01.26,아파트
7,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,59.9622,202312,28,"59,500",406동,13,-,-,2019,중동로 78,-,직거래,-,24.01.10,아파트
8,경상남도 창원시 의창구 북면 무동리,104-1,0104,0001,창원무동STX칸1차,84.9900,202312,28,"21,500",105,11,-,-,2015,무동서로 76,-,중개거래,경남 창원시의창구,24.02.22,아파트
9,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202312,27,"56,000",101,47,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원성산구,24.01.05,아파트
10,경상남도 창원시 의창구 팔용동,69,0069,0000,팔용원풍,84.5257,202312,27,"33,000",502,3,-,-,2000,사화로90번길 20,-,중개거래,경남 창원성산구,23.12.27,아파트
11,경상남도 창원시 의창구 북면 무동리,149-1,0149,0001,창원무동코아루파크,74.2148,202312,27,"22,500",106동,12,-,-,2018,무동로 213,-,중개거래,경남 창원시의창구,24.02.07,아파트
