□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 대산면 가술리,323-7,0323,0007,한성,48.72,45.1,201510,17,"         3,700",2,1987,주남로 575-5
경상남도 창원의창구 대산면 가술리,387-26,0387,0026,한솔푸르네오,57.37,52.28,201511,5,"        11,300",2,2014,가술길1번길 19
경상남도 창원의창구 대산면 가술리,387-26,0387,0026,한솔푸르네오,57.37,52.28,201512,29,"        11,500",3,2014,가술길1번길 19
경상남도 창원의창구 대산면 제동리,334-5,0334,0005,제동별장빌라가동,80.19,67.41,201509,25,"         5,500",1,1992,제동길 45
경상남도 창원의창구 대산면 제동리,270-3,0270,0003,하림빌라,66.72,69.11,201507,13,"         5,000",2,1990,진산대로355번길 16-13
경상남도 창원의창구 도계동,318-12,0318,0012,강남라이자빌라,70.46,40.01,201509,18,"        12,300",1,1992,도계두리길 108-9
경상남도 창원의창구 도계동,318-12,0318,0012,강남라이자빌라,61.9,35.14,201606,3,"        10,500",2,1992,도계두리길 108-9
경상남도 창원의창구 도계동,347-4,0347,0004,거부빌라,46.16,59.12,201508,12,"        12,000",5,1994,원이대로69번길 1
경상남도 창원의창구 도계동,303-1,0303,0001,금강난초빌라,39.6,22.07,201605,20,"         9,000",2,1997,도계두리길 16-8
경상남도 창원의창구 도계동,410-2,0410,0002,금호빌라,73.56,39.26,201508,6,"        20,700",3,2002,태복산로31번길 31
경상남도 창원의창구 도계동,342-6,0342,0006,기전맨션,59.51,64.15,201606,8,"        13,200",2,1996,도계로50번길 5-7
경상남도 창원의창구 도계동,311-6,0311,0006,남도빌라,48.6,23.38,201603,1,"        11,700",4,1994,하남천서길9번길 23
경상남도 창원의창구 도계동,315-21,0315,0021,담양빌라(315-21),69.105,36.06,201603,30,"        10,000",1,1993,하남천서길51번길 24
경상남도 창원의창구 도계동,311-1,0311,0001,대도빌라(311-1),75.215,26.26,201510,27,"        15,200",4,1996,하남천서길51번길 39
경상남도 창원의창구 도계동,324-12,0324,0012,대동그린빌라,83.13,45.96,201606,29,"        18,100",3,2002,하남천서길15번길 5
경상남도 창원의창구 도계동,365-34,0365,0034,대성빌라,61.06,33.54,201507,8,"        14,900",4,1995,하남천동길32번길 5
경상남도 창원의창구 도계동,415-3,0415,0003,더좋은집(원창),66.97,34.59,201602,2,"        13,400",2,1997,도계두리길 222
경상남도 창원의창구 도계동,415-3,0415,0003,더좋은집(원창),66.97,34.59,201605,6,"        15,500",2,1997,도계두리길 222
경상남도 창원의창구 도계동,397-5,0397,0005,덕암파크,71.65,29.9,201604,5,"        16,500",6,1994,도계로 80
