□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 대산면 제동리,334-7,0334,0007,제동별장빌라나동,66.3,78.13,201906,4,"         3,000",2,1992,제동길 47
경상남도 창원의창구 도계동,312-12,0312,0012,경우빌리지1차,72.97,47.89,201811,26,"        11,500",4,1993,하남천서길9번길 20-5
경상남도 창원의창구 도계동,303-1,0303,0001,금강난초빌라,35.41,19.73,201904,11,"         6,800",5,1997,도계두리길 16-8
경상남도 창원의창구 도계동,360-3,0360,0003,금강초원빌라,72.49,36.48,201812,7,"        15,000",3,1994,하남천동길44번길 5-3
경상남도 창원의창구 도계동,410-2,0410,0002,금호빌라,73.56,39.26,201809,12,"        17,000",2,2002,태복산로31번길 31
경상남도 창원의창구 도계동,418-1,0418,0001,대남상가빌라,87.84,30.97,201811,22,"        14,000",4,1991,도계로 102
경상남도 창원의창구 도계동,330-4,0330,0004,빨마데파트2,64.59,244.35,201810,12,"        12,000",2,1992,도계로12번길 5
경상남도 창원의창구 도계동,404-1,0404,0001,서광데파트,83.19,23.69,201812,18,"        10,000",5,1989,태복산로3번길 41
경상남도 창원의창구 도계동,311-15,0311,0015,서원드림빌라,74.103,50.96,201811,20,"        10,500",5,2001,하남천서길9번길 15
경상남도 창원의창구 도계동,417-5,0417,0005,서원래온빌5차,84.87,49.49,201901,2,"        29,000",3,2010,도계로 105
경상남도 창원의창구 도계동,360-23,0360,0023,서원래온빌6차,74.47,67.01,201901,22,"        18,100",3,2015,도계두리길 150
경상남도 창원의창구 도계동,334-20,0334,0020,서원프리빌,64.63,35.7,201809,28,"        13,500",3,2005,도계로4번길 11
경상남도 창원의창구 도계동,337-1,0337,0001,성산빌라5차,62.35,26.46,201902,1,"         9,000",5,1993,도계로18번길 10
경상남도 창원의창구 도계동,344-1,0344,0001,성산빌라7차,57.19,26.12,201906,26,"         8,500",4,1994,도계로50번길 15
경상남도 창원의창구 도계동,352-4,0352,0004,성수빌라14차15차,67.93,231.61,201905,11,"        11,700",4,1997,도계로60번길 5-10
경상남도 창원의창구 도계동,331-5,0331,0005,성신데파트,77.85,28.55,201901,15,"         9,930",5,1992,도계로8번길 1
경상남도 창원의창구 도계동,308-13,0308,0013,성우예은빌,68.842,48.37,201810,31,"        23,500",2,2018,하남천서길5번길 27
경상남도 창원의창구 도계동,308-13,0308,0013,성우예은빌,68.842,48.37,201811,20,"        23,500",4,2018,하남천서길5번길 27
경상남도 창원의창구 도계동,308-13,0308,0013,성우예은빌,68.842,48.37,201812,7,"        22,500",1,2018,하남천서길5번길 27
