□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원성산구 내동,456-17,0456,0017,내동상가,46.94,37.9,201508,3,"        10,500",3,1976,창원대로 726
경상남도 창원성산구 내동,456-17,0456,0017,내동상가,41.32,32.8,201508,17,"         7,500",5,1976,창원대로 726
경상남도 창원성산구 내동,456-17,0456,0017,내동상가,60.5,48,201509,18,"        13,000",3,1976,창원대로 726
경상남도 창원성산구 내동,456-17,0456,0017,내동상가,41.32,32.8,201511,16,"         7,500",4,1976,창원대로 726
경상남도 창원성산구 내동,456-17,0456,0017,내동상가,46.94,37.9,201512,31,"        10,300",5,1976,창원대로 726
경상남도 창원성산구 내동,456-17,0456,0017,내동상가,41.32,32.8,201603,1,"         8,500",2,1976,창원대로 726
경상남도 창원성산구 내동,456-17,0456,0017,내동상가,46.94,37.9,201604,25,"         9,500",2,1976,창원대로 726
경상남도 창원성산구 성주동,143,0143,0000,루이젠하우스,176.52,238.59,201507,23,"        89,000",4,2008,창원대로1137번길 18
경상남도 창원성산구 성주동,143,0143,0000,루이젠하우스,176.52,238.59,201603,15,"        86,500",4,2008,창원대로1137번길 18
경상남도 창원성산구 성주동,169,0169,0000,성주중앙블루아템,84.76,142.91,201605,16,"        53,891",2,2015,삼정자로72번길 99
경상남도 창원성산구 성주동,169,0169,0000,성주중앙블루아템,84.76,142.91,201606,17,"        57,500",5,2015,삼정자로72번길 99
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,84.88,109.53,201507,7,"        52,800",4,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,100.41,129.57,201507,31,"        59,800",1,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,100.41,129.57,201508,21,"        67,000",1,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,84.25,108.72,201509,4,"        51,000",3,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,118.42,152.81,201510,12,"        66,000",3,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,84.88,109.53,201510,23,"        51,000",3,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,100.41,129.57,201511,13,"        58,500",1,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,84.88,109.53,201601,26,"        52,500",1,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,84.88,109.53,201602,15,"        53,000",1,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,84.88,109.53,201604,7,"        47,000",3,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,84.88,109.53,201606,10,"        49,500",3,2013,삼정자로 78
경상남도 창원성산구 성주동,157,0157,0000,효성해링턴코트,84.88,109.53,201606,18,"        48,000",4,2013,삼정자로 78
경상남도 창원성산구 안민동,70,0070,0000,동양상가빌라,59.4,25.48,201601,21,"        11,500",4,1998,안민안길 28
경상남도 창원성산구 안민동,70,0070,0000,동양상가빌라,59.4,25.48,201606,1,"        10,000",4,1998,안민안길 28
경상남도 창원성산구 안민동,120-15,0120,0015,송원빌라트(120-15),44.45,28.01,201511,27,"         6,400",4,2002,안민안길30번길 15
경상남도 창원성산구 안민동,120-4,0120,0004,송원빌라트(120-4),56.2,32.06,201507,6,"         7,800",2,2002,안민안길30번길 13
경상남도 창원성산구 안민동,163-5,0163,0005,안민동상가주택,84.24,36.88,201512,1,"        12,400",4,2002,안민로117번길 9
