□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 가포동,508-29,0508,0029,(508-29),44.42,31.8,201811,19,"         3,250",-1,1990,가포로 176-19
경상남도 창원마산합포구 가포동,508-7,0508,0007,건우주택,49.8,55,201903,11,"         4,300",3,1985,가포로 170
경상남도 창원마산합포구 교방동,361-4,0361,0004,광신국민,49.34,52.04,201812,8,"         7,800",1,1983,노산서18길 118
경상남도 창원마산합포구 교방동,359-4,0359,0004,동아,37.06,26.05,201807,25,"         3,600",4,1982,교방북2길 28
경상남도 창원마산합포구 교방동,359-4,0359,0004,동아,37.06,26.05,201810,18,"         3,900",4,1982,교방북2길 28
경상남도 창원마산합포구 교방동,359-4,0359,0004,동아,46.78,32.9,201906,17,"         6,500",2,1982,교방북2길 28
경상남도 창원마산합포구 교방동,365-5,0365,0005,무학파크뷰,66.15,43.83,201809,13,"        16,000",2,2016,회원서10길 109-1
경상남도 창원마산합포구 구산면 심리,477,0477,0000,별장,62.7,78.3,201808,16,"         4,300",1,1989,괭이바다길 229
경상남도 창원마산합포구 문화동,12-3,0012,0003,대주빌라맨션,152.18,166.67,201809,5,"        29,000",3,1989,고운로 51-1
경상남도 창원마산합포구 문화동,12-3,0012,0003,대주빌라맨션,152.18,166.67,201809,14,"        25,000",2,1989,고운로 51-1
경상남도 창원마산합포구 문화동,12-3,0012,0003,대주빌라맨션,152.18,166.67,201809,25,"        27,000",2,1989,고운로 51-1
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201810,4,"         4,950",4,1995,반월남1길 48
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201901,10,"         4,000",4,1995,반월남1길 48
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201906,28,"         3,000",3,1995,반월남1길 48
경상남도 창원마산합포구 산호동,28-18,0028,0018,L.K 드림빌,72.21,50.05,201901,2,"        21,000",2,2017,산호시장길 40
경상남도 창원마산합포구 산호동,563-1,0563,0001,산호파크빌라,188.12,129.13,201811,1,"        20,900",1,1995,합포북13길 33
경상남도 창원마산합포구 산호동,532-37,0532,0037,화이트빌5,56.399,40.58,201808,11,"        10,700",1,2006,산호남8길 70
경상남도 창원마산합포구 상남동,42-3,0042,0003,(42-3),36.53,37,201808,22,"         4,000",2,1982,노산북4길 10
경상남도 창원마산합포구 서성동,84-221,0084,0221,우진목화주택,72.06,66.54,201811,30,"         8,000",2,1984,동서남5길 8
경상남도 창원마산합포구 수성동,80-1,0080,0001,수성채움빌라,65.92,27.02,201808,13,"        20,000",5,2018,동서북6길 6
