□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,283-6,0283,0006,(283-6),37.92,29.69,201811,20,"         2,500",2,1986,구암북4길 6
경상남도 창원마산회원구 구암동,1084,1084,0000,구암동흥림빌라,83.63,53.28,201902,8,"         8,500",3,2003,구암동정길 71
경상남도 창원마산회원구 구암동,1084,1084,0000,구암동흥림빌라,65.25,41.57,201902,25,"         6,100",2,2003,구암동정길 71
경상남도 창원마산회원구 구암동,275-3,0275,0003,대광빌라,72.61,40.35,201903,26,"        10,000",2,1991,구암북9길 39
경상남도 창원마산회원구 구암동,273-1,0273,0001,대웅빌라A,62.42,34.77,201906,24,"         8,000",2,2000,구암북10길 53
경상남도 창원마산회원구 구암동,83-11,0083,0011,동명,51.93,44.06,201808,18,"         6,500",2,1979,구암남8길 17
경상남도 창원마산회원구 구암동,22-6,0022,0006,성남,46.28,24.7,201810,5,"         6,500",2,1982,구암남6길 15
경상남도 창원마산회원구 구암동,285-6,0285,0006,성민베스트빌,77.2,39.79,201812,4,"         8,000",5,2003,구암북19길 8
경상남도 창원마산회원구 구암동,19-12,0019,0012,신성,43.92,36.69,201809,6,"         6,450",1,1982,구암서1길 29
경상남도 창원마산회원구 구암동,83-43,0083,0043,창성빌라,57.33,38.81,201809,28,"        13,000",2,2005,구암남9길 22
경상남도 창원마산회원구 구암동,268-3,0268,0003,천주,50.71,46.16,201904,6,"         6,500",1,1982,구암북1길 70
경상남도 창원마산회원구 구암동,28-6,0028,0006,한효C,69.36,59.97,201901,8,"        11,691",1,1983,팔용로 191
경상남도 창원마산회원구 내서읍 삼계리,751-13,0751,0013,T.S 휴먼빌라트 A동,84.69,102.81,201811,7,"        22,000",2,2016,삼계로 127-19
경상남도 창원마산회원구 내서읍 삼계리,440-2,0440,0002,두정숲속애2차(2동),72.154,81.92,201807,10,"        15,000",1,2012,삼계숲길 169-1
경상남도 창원마산회원구 내서읍 삼계리,326-1,0326,0001,라임하우스(326-1),59.96,59.69,201903,18,"         9,000",3,2013,광려로 72
경상남도 창원마산회원구 내서읍 삼계리,341-15,0341,0015,삼계 위드필 타운하우스1단지,113.0167,150.04,201903,18,"        26,000",3,2015,광려로 78-51
경상남도 창원마산회원구 내서읍 삼계리,341-15,0341,0015,삼계 위드필 타운하우스1단지,113.0167,150.04,201904,4,"        26,000",2,2015,광려로 78-51
경상남도 창원마산회원구 내서읍 삼계리,341-15,0341,0015,삼계 위드필 타운하우스1단지,70.8353,94.04,201904,9,"        18,000",4,2015,광려로 78-51
