□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 가주동,421-1,0421,0001,가주동빌라,73.27,40.26,201606,1,"         4,200",1,1998,가주로 161
경상남도 창원진해구 가주동,361,0361,0000,성신그린빌리지,75.68,63.22,201603,4,"         6,300",3,1997,가주로 72
경상남도 창원진해구 경화동,1144-12,1144,0012,(1144-2),56.2,47.5,201510,30,"         5,300",2,1980,충장로249번길 25-7
경상남도 창원진해구 경화동,1145-20,1145,0020,강남빌라,91.52,54.21,201512,10,"        10,000",2,1992,중초로29번길 6-1
경상남도 창원진해구 경화동,1171-1,1171,0001,건우,53.19,50,201507,5,"         7,350",1,1984,태백로 12
경상남도 창원진해구 경화동,1171-1,1171,0001,건우,53.19,50,201510,29,"         8,000",1,1984,태백로 12
경상남도 창원진해구 경화동,1171-1,1171,0001,건우,53.19,50,201601,24,"         7,700",1,1984,태백로 12
경상남도 창원진해구 경화동,1171-1,1171,0001,건우,53.19,50,201603,18,"         6,100",3,1984,태백로 12
경상남도 창원진해구 경화동,1473-3,1473,0003,경동빌라,43.47,28.85,201507,28,"         6,400",4,1996,조천로31번길 31
경상남도 창원진해구 경화동,1473-3,1473,0003,경동빌라,43.14,29.18,201510,10,"         5,100",4,1996,조천로31번길 31
경상남도 창원진해구 경화동,1280-9,1280,0009,경진빌라,59.55,50.94,201511,9,"         6,200",2,1997,조천북로98번길 1
경상남도 창원진해구 경화동,1280-9,1280,0009,경진빌라,59.55,50.94,201512,30,"        10,300",3,1997,조천북로98번길 1
경상남도 창원진해구 경화동,1145-1,1145,0001,경화원룸,28.98,14.74,201512,23,"         3,500",3,2001,중초로37번길 9
경상남도 창원진해구 경화동,1144-9,1144,0009,광성주택,55.42,46.2,201509,5,"         7,500",3,1990,충장로249번길 25
경상남도 창원진해구 경화동,1499-1,1499,0001,대덕프린스빌라,71.3,72.88,201510,9,"        10,800",4,1991,조천북로68번길 13
경상남도 창원진해구 경화동,1274-1,1274,0001,대성나동,35.27,27.28,201509,15,"         4,000",2,1982,조천로31번길 6
경상남도 창원진해구 경화동,1274-1,1274,0001,대성나동,35.27,27.28,201512,23,"         2,700",3,1982,조천로31번길 6
경상남도 창원진해구 경화동,1274-1,1274,0001,대성나동,35.27,27.28,201604,6,"         3,400",2,1982,조천로31번길 6
경상남도 창원진해구 경화동,1176-14,1176,0014,대풍경화빌라,59.8,44.87,201510,1,"         9,500",3,1995,충장로 281-8
경상남도 창원진해구 경화동,1199-2,1199,0002,대풍스포빌,59.31,19.69,201512,11,"         6,500",6,1997,진해대로 642
