□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 의창구 서상동,464,0464,0000,덕산빌라,66.3230,63.6095,202012,28,"20,000",4,-,-,2017,의안로27번길 38,-,-,-,-,연립다세대
2,경상남도 창원시 의창구 도계동,323-5,0323,0005,동원빌라(323-5),56.5200,31.6800,202012,22,"8,400",2,-,-,1994,하남천서길15번길 10,-,-,-,-,다세대
3,경상남도 창원시 의창구 도계동,323-5,0323,0005,동원빌라(323-5),56.5200,31.6800,202012,22,"8,400",2,-,-,1994,하남천서길15번길 10,20210108,-,-,-,다세대
4,경상남도 창원시 의창구 서상동,332,0332,0000,한성가동,51.1150,55.0000,202012,22,"6,000",2,-,-,1984,천주로12번길 6-16,-,-,-,-,연립
5,경상남도 창원시 의창구 동읍 용정리,150-6,0150,0006,헬리체자여,76.1728,59.9099,202012,15,"10,500",4,-,-,2018,자여로112번길 21,-,-,-,-,연립
6,경상남도 창원시 의창구 소답동,112-14,0112,0014,양빌라,53.6750,32.9800,202012,14,"9,000",3,-,-,2002,의안로8번길 9,-,-,-,-,연립다세대
7,경상남도 창원시 의창구 도계동,308-8,0308,0008,송백아마존빌라,74.6300,45.4250,202012,12,"13,400",3,-,-,2001,도계로31번길 6,-,-,-,-,다세대
8,경상남도 창원시 의창구 도계동,360-4,0360,0004,리코아트빌라,72.9900,29.1400,202012,08,"14,500",2,-,-,1994,하남천동길44번길 5-7,-,-,-,-,연립
9,경상남도 창원시 의창구 소답동,124-6,0124,0006,성수빌라8차,71.4600,38.0955,202012,08,"9,800",5,-,-,1996,의안로62번길 24,-,-,-,-,다세대
10,경상남도 창원시 의창구 소답동,153-5,0153,0005,청송양지A동,70.5500,26.1100,202012,04,"9,700",4,-,-,1996,읍성로117번길 9,-,-,-,-,다세대
11,경상남도 창원시 의창구 중동,539,0539,0000,현대그린빌리지,65.0300,45.5212,202012,04,"10,500",4,-,-,2011,읍성로34번길 5-10,20201215,-,-,-,다세대
12,경상남도 창원시 의창구 중동,539,0539,0000,현대그린빌리지,65.0300,45.5212,202012,04,"10,100",4,-,-,2011,읍성로34번길 5-10,-,-,-,-,다세대
13,경상남도 창원시 의창구 동정동,334-2,0334,0002,더푸름빌리지,68.3834,64.4567,202012,04,"17,000",2,-,-,2016,동정길 53-17,-,-,-,-,연립
