□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 진해구 회현동,23,0023,0000,충무쉐르빌,191.7500,107.9380,202012,28,"18,427",4,-,-,2003,편백로7번길 19,-,-,-,-,연립
2,경상남도 창원시 진해구 경화동,1501-2,1501,0002,남성파크B,72.4800,58.5100,202012,28,"6,500",4,-,-,1994,조천로23번길 40,-,-,-,-,연립
3,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202012,24,"23,000",3,-,-,2003,석동로 80,-,-,-,-,연립
4,경상남도 창원시 진해구 경화동,411,0411,0000,강남빌라(441),44.3800,32.6250,202012,24,"3,950",3,-,-,1992,경화로18번길 28,-,-,-,-,다세대
5,경상남도 창원시 진해구 이동,257-8,0257,0008,이동빌라A동,72.9600,64.0000,202012,22,"6,200",3,-,-,1990,충장로415번길 7,-,-,-,-,연립
6,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.7100,76.8300,202012,19,"16,800",4,-,-,2003,냉천로107번길 14,-,-,-,-,연립
7,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.9600,127.1800,202012,19,"28,300",4,-,-,2003,석동로 80,-,-,-,-,연립
8,경상남도 창원시 진해구 경화동,681,0681,0000,기림빌라,71.7700,29.7600,202012,18,"8,900",5,-,-,2002,경화로 32,-,-,-,-,다세대
9,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202012,15,"23,500",4,-,-,2003,석동로 80,-,-,-,-,연립
10,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,90.1500,202012,15,"18,550",2,-,-,2003,석동로 80,-,-,-,-,연립
11,경상남도 창원시 진해구 이동,508-5,0508,0005,일성빌라가동,81.5700,59.2500,202012,14,"9,500",4,-,-,1991,병암로30번길 5-7,-,-,-,-,연립
12,경상남도 창원시 진해구 자은동,960-3,0960,0003,자은금화빌라,84.2400,43.7100,202012,12,"10,700",2,-,-,2001,자은로64번길 5,-,-,-,-,연립다세대
13,경상남도 창원시 진해구 경화동,1171-1,1171,0001,건우,53.1900,50.0000,202012,12,"6,600",1,-,-,1984,태백로 12,-,-,-,-,연립
