□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산회원구 석전동,247-5,0247,0005,(247-5),32.7900,36.1000,202212,27,"5,500",2,-,-,1979,석전동6길 17,-,중개거래,경남 창원마산회원구,-,연립
2,경상남도 창원시 마산회원구 구암동,28-6,0028,0006,한효C,69.3600,59.9700,202212,26,"11,800",2,-,-,1983,팔용로 191,-,중개거래,경남 창원마산회원구,-,연립
3,경상남도 창원시 마산회원구 회성동,527,0527,0000,파크캐슬,55.4528,63.1292,202212,26,"17,200",1,-,-,2014,회성남20길 40,-,중개거래,경남 창원마산회원구,-,연립
4,경상남도 창원시 마산회원구 봉암동,194,0194,0000,82주택,59.3100,68.2300,202212,26,"5,000",1,-,-,1982,무역로 271,-,직거래,-,-,연립
5,경상남도 창원시 마산회원구 구암동,282-24,0282,0024,(282-24),43.2100,43.7750,202212,24,"3,700",2,-,-,1980,구암북2길 7-1,-,중개거래,경남 창원마산회원구,-,다세대
6,경상남도 창원시 마산회원구 회원동,480-31,0480,0031,금강목화,59.8500,43.7000,202212,23,"13,850",4,-,-,1997,회원남14길 56-1,-,중개거래,경남 창원마산합포구,-,다세대
7,경상남도 창원시 마산회원구 석전동,163-52,0163,0052,아람,54.5000,43.9600,202212,23,"4,800",1,-,-,1984,석전북2길 23-11,-,중개거래,경남 창원마산회원구,-,연립
8,경상남도 창원시 마산회원구 회원동,234-6,0234,0006,동민화이트빌,59.9800,46.1985,202212,18,"9,000",3,-,-,2004,회원서1길 43,-,직거래,-,-,다세대
9,경상남도 창원시 마산회원구 내서읍 상곡리,207,0207,0000,상안빌라,60.8600,35.7280,202212,17,"3,000",5,-,-,1997,상곡로 68,-,중개거래,경남 창원마산회원구,-,연립다세대
10,경상남도 창원시 마산회원구 내서읍 원계리,520,0520,0000,유강빌리지2,63.5378,87.2500,202212,15,"14,300",4,-,-,2015,원계증산길 43,-,중개거래,경남 창원마산회원구,-,다세대
11,경상남도 창원시 마산회원구 회원동,666-11,0666,0011,국희,43.6900,41.2000,202212,10,"6,700",1,-,-,1982,회원북24길 43,-,중개거래,경남 창원마산합포구 경남 창원마산회원구,-,연립
