□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산합포구 중앙동2가,1-432,0001,0432,원호주택,60.0300,43.3020,202312,27,"10,700",3,-,-,1981,중앙동3길 32-7,-,중개거래,경남 창원마산합포구,-,연립다세대
2,경상남도 창원시 마산합포구 교방동,354-1,0354,0001,영진,38.6100,40.7290,202312,18,"2,800",2,-,-,1987,무학로 535-2,-,직거래,-,-,연립
3,경상남도 창원시 마산합포구 월포동,2-118,0002,0118,영진블루빌A,59.2800,38.3125,202312,15,"16,000",3,-,-,2011,반월동4길 16,-,중개거래,경남 창원마산합포구,-,다세대
4,경상남도 창원시 마산합포구 교방동,365-7,0365,0007,대하주택(국민),50.5800,43.3000,202312,15,"6,200",3,-,-,1986,무학로 525,-,직거래,-,-,연립
5,경상남도 창원시 마산합포구 문화동,14-100,0014,0100,문화,50.7100,60.0367,202312,08,"7,000",1,-,-,1981,문화서7길 22,-,직거래,-,-,연립다세대
6,경상남도 창원시 마산합포구 해운동,64-1,0064,0001,동방그랜드타운,22.6500,6.3900,202312,05,"5,400",5,-,-,1998,해안대로 25,-,중개거래,경남 창원마산합포구,-,연립
7,경상남도 창원시 마산합포구 진북면 지산리,81-8,0081,0008,지산빌라,61.2900,66.0000,202311,30,"2,000",2,-,-,1990,지산4길 45,-,직거래,-,-,다세대
8,경상남도 창원시 마산합포구 서성동,83-62,0083,0062,서성,49.3500,32.6700,202311,29,"5,600",2,-,-,1983,동서남2길 17,-,중개거래,경남 창원마산합포구,-,연립
9,경상남도 창원시 마산합포구 서성동,83-62,0083,0062,서성,49.3500,32.6700,202311,29,"5,600",1,-,-,1983,동서남2길 17,-,중개거래,경남 창원마산합포구,-,연립
10,경상남도 창원시 마산합포구 산호동,337-75,0337,0075,파인하우스,18.9300,7.0300,202311,23,"3,750",3,-,-,2011,합포동3길 8,-,직거래,-,-,연립
11,경상남도 창원시 마산합포구 산호동,337-75,0337,0075,파인하우스,18.9300,7.0300,202311,23,"3,750",3,-,-,2011,합포동3길 8,-,직거래,-,-,연립
12,경상남도 창원시 마산합포구 산호동,337-75,0337,0075,파인하우스,18.9300,7.0300,202311,23,"3,750",4,-,-,2011,합포동3길 8,-,직거래,-,-,연립
