□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2024-01-01 ~ 2024-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 진해구 이동,343-10,0343,0010,경남하이얏트빌라,73.6100,43.4600,202412,31,"6,000",1,개인,개인,1995,해원로2번길 24,-,중개거래,경남 창원시 진해구,-,연립다세대
2,경상남도 창원시 진해구 자은동,960-3,0960,0003,자은금화빌라,84.2400,43.7100,202412,21,"14,000",4,개인,개인,2001,자은로64번길 5,-,중개거래,경남 창원시 진해구,-,연립다세대
3,경상남도 창원시 진해구 경화동,843,0843,0000,신우까치빌라,75.5683,64.5817,202412,14,"5,700",4,개인,개인,1999,조천북로 147,-,중개거래,경남 창원시 의창구,24.12.16,연립
4,경상남도 창원시 진해구 마천동,144-18,0144,0018,청호빌라,77.0200,41.8500,202412,14,"4,800",1,개인,개인,1997,마천로 39,-,중개거래,경남 창원시 진해구,24.12.16,연립
5,경상남도 창원시 진해구 경화동,848-8,0848,0008,태화맨션,68.2500,48.8473,202412,14,"7,700",4,개인,개인,1997,병암북로3번길 24,-,중개거래,경남 창원시 진해구,-,연립
6,경상남도 창원시 진해구 석동,313-2,0313,0002,태화빌라,73.7700,46.3400,202412,13,"7,500",2,개인,개인,1997,진해대로789번길 15-11,-,중개거래,경남 창원시 진해구,-,연립
7,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,90.1500,202412,10,"18,000",3,개인,개인,2003,석동로 80,-,중개거래,경남 창원시 진해구,-,연립
8,경상남도 창원시 진해구 경화동,846-15,0846,0015,"창성(가,나)",44.1900,40.8200,202412,09,"5,500",2,개인,개인,1986,조천북로146번길 3,-,직거래,-,24.12.20,연립
9,경상남도 창원시 진해구 석동,118-19,0118,0019,대성주택D동,46.7600,727.0000,202412,05,"6,000",1,개인,개인,1983,냉천로 39,-,중개거래,경남 창원시 진해구,-,연립
10,경상남도 창원시 진해구 경화동,1280,1280,0000,유일전원빌라101,59.8700,49.9100,202412,05,"8,000",3,개인,개인,1995,조천로35번길 16,-,중개거래,경남 창원시 진해구,-,연립다세대
11,경상남도 창원시 진해구 풍호동,755-10,0755,0010,진흥골든빌라B,74.8800,31.1200,202412,02,"6,500",4,개인,개인,1996,충장로 521,-,중개거래,경남 창원시 진해구,24.12.06,연립다세대
