□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 대원동,96-6,96,6,대원그린빌,26.45,201810,1,"         3,500",6,2003,대원로27번길 20
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201807,31,"        51,500",6,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201808,29,"        32,000",5,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201809,18,"        55,000",35,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201810,3,"        34,000",14,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201810,3,"        32,900",25,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201810,11,"        33,000",17,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201810,15,"        49,000",35,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201901,15,"        50,200",33,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201901,31,"        65,000",28,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201902,2,"        49,800",34,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201902,14,"        56,500",15,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201902,18,"        31,500",28,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201902,25,"        32,300",3,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201902,25,"        32,200",26,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201903,6,"        58,000",30,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201903,7,"        31,000",14,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201903,15,"        36,000",9,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201903,29,"        31,500",35,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201904,11,"        31,500",4,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201904,22,"        31,700",32,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201904,23,"        52,000",19,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201904,25,"        34,400",12,2009,원이대로 320
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201905,20,"        43,000",13,2009,원이대로 320
