□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201707,5,"         5,700",8,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201707,14,"         6,450",9,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201707,21,"         6,000",9,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,42.89,201708,7,"         8,500",8,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201709,18,"         7,000",10,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201711,3,"         6,300",10,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201801,24,"         6,700",9,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,22.63,201801,31,"         5,500",10,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,22.63,201803,8,"         4,700",9,2003,마디미로38번길 11
경상남도 창원성산구 상남동,25,25,0,네스트빌딩,28.09,201803,28,"         6,500",10,2003,마디미로38번길 11
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,44.65,201707,1,"        14,000",12,2006,중앙대로 104
경상남도 창원성산구 상남동,78-3,78,3,마이우스 오피스텔,22.09,201711,2,"         7,300",13,2006,중앙대로 104
경상남도 창원성산구 상남동,71-3,71,3,상남 아크로타워,155.37,201707,17,"        47,000",23,2008,중앙대로 48
경상남도 창원성산구 상남동,71-3,71,3,상남 아크로타워,132.43,201711,3,"        33,000",11,2008,중앙대로 48
경상남도 창원성산구 상남동,71-3,71,3,상남 아크로타워,155.37,201711,22,"        40,500",20,2008,중앙대로 48
경상남도 창원성산구 상남동,71-3,71,3,상남 아크로타워,155.37,201712,27,"        40,000",23,2008,중앙대로 48
경상남도 창원성산구 상남동,71-3,71,3,상남 아크로타워,155.37,201802,3,"        40,300",15,2008,중앙대로 48
경상남도 창원성산구 상남동,71-3,71,3,상남 아크로타워,128.23,201802,21,"        35,800",31,2008,중앙대로 48
경상남도 창원성산구 상남동,71-3,71,3,상남 아크로타워,108.9,201803,8,"        25,500",10,2008,중앙대로 48
경상남도 창원성산구 상남동,71-3,71,3,상남 아크로타워,132.43,201803,18,"        36,500",21,2008,중앙대로 48
경상남도 창원성산구 상남동,9-2,9,2,상남리더스빌,35.5,201707,31,"         5,500",7,2002,마디미로9번길 3
경상남도 창원성산구 상남동,9-2,9,2,상남리더스빌,35.5,201803,7,"         5,400",6,2002,마디미로9번길 3
