□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,28.2,201707,16,"         5,400",8,2003,월영북로 61
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,32.06,201707,19,"         5,500",8,2003,월영북로 61
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,37.35,201804,19,"         5,800",1,2003,월영북로 61
경상남도 창원마산합포구 동성동,50,50,0,리치클Ⅱ,34.69,201712,27,"         7,000",8,1997,아구찜길 7
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,31.56,201708,9,"         5,100",13,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,31.56,201711,26,"         5,000",4,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,32.8,201711,26,"         5,000",4,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,32.8,201803,18,"         5,000",13,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,28,201804,24,"         3,660",8,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,33.97,201805,17,"         4,500",10,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,26.4,201805,21,"         3,400",6,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,201806,8,"         2,500",4,2006,해안대로 367
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,201806,15,"         4,000",13,2006,해안대로 367
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201707,24,"         8,000",6,2015,3·15대로 353
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201711,15,"         8,200",11,2015,3·15대로 353
경상남도 창원마산합포구 산호동,14-5,14,5,	(14-5)	,25.08,201709,5,"         4,200",2,2002,산호북4길 11
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,32.8,201805,21,"         4,350",7,1998,합포남2길 6
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,40.18,201708,28,"         7,250",6,2004,산호북19길 11
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,36.93,201801,18,"         7,250",8,2004,산호북19길 11
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201801,9,"         8,500",6,2015,합포로 162
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201804,24,"         8,653",6,2015,합포로 162
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201804,25,"         8,726",11,2015,합포로 162
