□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,28.11,201810,16,"         2,750",7,2005,충장로273번길 16
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,31.56,201901,10,"         3,150",3,2005,충장로273번길 16
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,41.71,201904,2,"         4,200",5,2005,충장로273번길 16
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,26.04,201903,12,"         6,000",9,2014,중원동로 33
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201807,18,"         6,000",12,2015, 
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201903,8,"         7,300",16,2015, 
경상남도 창원진해구 충무동,28-8,28,8,더 프라임,65.3,201812,6,"         7,380",2,,충장로 160
경상남도 창원진해구 충무동,28-135,28,135,하이존텔,25.79,201809,7,"         2,700",6,2001,충장로176번길 18
경상남도 창원진해구 충무동,28-135,28,135,하이존텔,23.97,201812,28,"         1,750",3,2001,충장로176번길 18
경상남도 창원진해구 충무동,28-26,28,26,하이존텔2,42.16,201904,16,"         4,300",4,2002,충장로176번길 17
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,75.01,201812,31,"         7,550",4,2003,천자로413번길 5
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,75.01,201812,31,"         7,550",5,2003,천자로413번길 5
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201905,6,"         3,100",6,2005,편백로8번길 3-2
