□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산합포구 산호동,14-5,0014,0005,(14-5),25.0800,202012,30,"3,150",2,-,-,2002,산호북4길 11,-,-,-
2,경상남도 창원시 마산합포구 산호동,427-2,0427,0002,기전모닝텔,32.8000,202012,30,"3,650",9,-,-,1998,합포남2길 6,-,-,-
3,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.9090,202012,29,"7,310",5,-,-,2016,중앙남5길 79,-,-,-
4,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.9090,202012,29,"7,310",7,-,-,2016,중앙남5길 79,-,-,-
5,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.9090,202012,29,"7,310",9,-,-,2016,중앙남5길 79,-,-,-
6,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.9090,202012,29,"7,310",9,-,-,2016,중앙남5길 79,-,-,-
7,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,59.8345,202012,29,"14,900",9,-,-,2016,중앙남5길 79,-,-,-
8,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.4940,202012,29,"7,180",2,-,-,2016,중앙남5길 79,-,-,-
9,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.9090,202012,29,"7,310",5,-,-,2016,중앙남5길 79,-,-,-
10,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.4940,202012,29,"7,180",5,-,-,2016,중앙남5길 79,-,-,-
11,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,29.3558,202012,29,"8,430",5,-,-,2016,중앙남5길 79,-,-,-
12,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,59.8345,202012,29,"14,900",6,-,-,2016,중앙남5길 79,-,-,-
13,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.9090,202012,29,"7,310",6,-,-,2016,중앙남5길 79,-,-,-
14,경상남도 창원시 마산합포구 장군동3가,13-4,0013,0004,상우 더 헤라우스 오피스텔,23.9090,202012,29,"7,310",6,-,-,2016,중앙남5길 79,-,-,-
