□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,26.0405,202012,30,"8,300",14,-,-,2018, ,20210113,-,-
2,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,26.0405,202012,30,"8,300",14,-,-,2018, ,-,-,-
3,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),30.0200,202012,25,"4,400",8,-,-,2000,석전동15길 39,-,-,-
4,경상남도 창원시 마산회원구 양덕동,95-29,0095,0029,성락오피스텔,23.9400,202012,25,"3,500",5,-,-,2004,양덕북4길 56,-,-,-
5,경상남도 창원시 마산회원구 내서읍 상곡리,159,0159,0000,광민빌라,73.5500,202012,24,"14,000",1,-,-,2015,상곡로 94,20210111,-,-
6,경상남도 창원시 마산회원구 내서읍 상곡리,159,0159,0000,광민빌라,76.7400,202012,24,"14,000",1,-,-,2015,상곡로 94,-,-,-
7,경상남도 창원시 마산회원구 구암동,90-23,0090,0023,동남프라자,32.5400,202012,23,"5,500",4,-,-,2005,3·15대로 954,-,-,-
8,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,21.6000,202012,18,"2,500",11,-,-,1996,양덕옛2길 73,-,-,-
9,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,43.4525,202012,15,"10,000",8,-,-,2013,양덕로 13,-,-,-
10,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202011,26,"11,000",5,-,-,2016, ,-,-,-
11,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,34.3600,202011,23,"2,800",8,-,-,1996,양덕옛2길 73,-,-,-
12,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202011,20,"7,428",4,-,-,2013,양덕로 13,-,-,-
13,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202011,20,"7,428",6,-,-,2013,양덕로 13,-,-,-
14,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202011,20,"7,428",4,-,-,2013,양덕로 13,-,-,-
15,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202011,20,"7,428",5,-,-,2013,양덕로 13,-,-,-
16,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202011,20,"7,428",4,-,-,2013,양덕로 13,-,-,-
