□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2021-01-01 ~ 2021-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 성산구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,25.9900,202112,31,"5,100",8,-,-,2006,중앙대로 104,-,중개거래,경남 창원성산구
2,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,32.1600,202112,30,"6,100",12,-,-,2005,중앙대로100번길 14,-,중개거래,경남 창원성산구
3,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202112,30,"34,500",28,-,-,2008,중앙대로 48,20220512,중개거래,경남 창원성산구
4,경상남도 창원시 성산구 상남동,75-3,0075,0003,창원 디아트리에 오피스텔,29.7200,202112,29,"13,000",14,-,-,2017, ,-,직거래,-
5,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,25.9400,202112,27,"3,550",3,-,-,2003,상남로 35,-,중개거래,경남 창원성산구
6,경상남도 창원시 성산구 상남동,25,0025,0000,네스트빌딩,22.6250,202112,25,"4,050",10,-,-,2003,마디미로38번길 11,-,직거래,-
7,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,153.7400,202112,25,"74,500",21,-,-,2009, 320,-,중개거래,경남 창원성산구 경남 창원의창구
8,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,32.1600,202112,24,"6,100",4,-,-,2005,중앙대로100번길 14,-,중개거래,경남 창원성산구
9,경상남도 창원시 성산구 중앙동,101-2,0101,0002,대흥인터빌,29.4800,202112,23,"4,500",14,-,-,2004,중앙대로 33,-,직거래,-
10,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,41.2000,202112,23,"4,000",8,-,-,1990,용지로 70,-,중개거래,경남 창원성산구
11,경상남도 창원시 성산구 상남동,75-3,0075,0003,창원 디아트리에 오피스텔,40.6700,202112,20,"15,000",7,-,-,2017, ,-,중개거래,경남 창원성산구
12,경상남도 창원시 성산구 상남동,75-2,0075,0002,엠케이오피스텔,24.3234,202112,18,"9,800",23,-,-,2016,중앙대로 94,-,중개거래,경남 창원성산구
13,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,20.9400,202112,17,"3,000",13,-,-,2003,중앙대로 75,-,중개거래,경남 창원성산구
14,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,28.7850,202112,17,"3,850",12,-,-,2003,중앙대로 75,-,중개거래,경남 창원성산구
