□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산회원구 구암동,90-23,0090,0023,동남프라자,32.5400,202212,23,"3,800",5,-,-,2005,3·15대로 954,-,중개거래,경남 창원마산회원구
2,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,22.6800,202212,19,"3,000",11,-,-,2003,봉양로 13,-,중개거래,경남 창원마산회원구
3,경상남도 창원시 마산회원구 양덕동,832-7,0832,0007,양덕 엘렌시아,53.1250,202212,17,"13,000",2,-,-,2018, ,-,중개거래,경남 창원마산합포구
4,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202212,08,"6,000",4,-,-,2013,양덕로 13,-,중개거래,경남 창원마산회원구
5,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,49.1800,202212,08,"10,300",5,-,-,2016, ,-,중개거래,경남 창원마산합포구
6,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202211,05,"15,000",19,-,-,2016, ,-,중개거래,경남 창원마산합포구
7,경상남도 창원시 마산회원구 양덕동,832-7,0832,0007,양덕 엘렌시아,65.0010,202211,02,"15,700",2,-,-,2018, ,-,중개거래,경남 창원마산합포구
8,경상남도 창원시 마산회원구 석전동,245-1,0245,0001,보양엠비션빌,25.6500,202210,25,"3,300",6,-,-,2004,양덕서8길 6,-,중개거래,경남 창원마산회원구
9,경상남도 창원시 마산회원구 석전동,245-1,0245,0001,보양엠비션빌,25.6500,202210,25,"3,400",8,-,-,2004,양덕서8길 6,-,중개거래,경남 창원마산회원구
10,경상남도 창원시 마산회원구 석전동,221-19,0221,0019,(221-19),18.9000,202210,22,882,2,-,-,2002,석전동17길 36,-,직거래,-
11,경상남도 창원시 마산회원구 석전동,221-19,0221,0019,(221-19),21.4200,202210,22,"1,000",5,-,-,2002,석전동17길 36,-,중개거래,경남 창원마산회원구
12,경상남도 창원시 마산회원구 석전동,221-19,0221,0019,(221-19),20.4600,202210,22,"1,000",2,-,-,2002,석전동17길 36,-,중개거래,경남 창원마산회원구
13,경상남도 창원시 마산회원구 석전동,221-19,0221,0019,(221-19),20.7900,202210,22,"1,000",2,-,-,2002,석전동17길 36,-,중개거래,경남 창원마산회원구
14,경상남도 창원시 마산회원구 석전동,221-19,0221,0019,(221-19),93.0600,202210,22,"7,000",5,-,-,2002,석전동17길 36,-,중개거래,경남 창원마산회원구
