□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 의창구 명서동,202-3,0202,0003,모비딕빌딩,35.5200,202212,28,"6,000",12,-,-,2004,우곡로217번길 24,-,직거래,-
2,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202212,19,"10,500",4,-,-,2019,용동로 45,20230113,중개거래,경남 창원의창구
3,경상남도 창원시 의창구 사림동,25,0025,0000,우영프라자,31.1300,202211,30,"6,000",4,-,-,2003,용지로293번길 28,-,중개거래,경남 창원의창구
4,경상남도 창원시 의창구 동읍 용잠리,215-18,0215,0018,창원1차 비룡벨로스텔라,62.6884,202211,21,"10,100",13,-,-,2018,의창대로 905,-,직거래,-
5,경상남도 창원시 의창구 명서동,199-8,0199,0008,장복빌딩,34.9600,202211,17,"3,600",6,-,-,1991,창이대로113번길 6,-,중개거래,경남 창원의창구
6,경상남도 창원시 의창구 동읍 용잠리,230-19,0230,0019,창원2차 비룡벨로스텔라,62.8612,202211,14,"8,611",7,-,-,2018,의창대로 909,-,직거래,-
7,경상남도 창원시 의창구 동읍 용잠리,1153-12,1153,0012,라푸름,75.6045,202211,11,"9,600",7,-,-,2017, ,-,직거래,-
8,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202210,22,"35,000",15,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구
9,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202210,18,"13,800",5,-,-,2019,용동로57번안길 9-11,-,중개거래,경남 창원의창구
10,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202210,12,"13,800",5,-,-,2019,용동로57번안길 9-11,20221013,중개거래,경남 창원의창구
11,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202209,26,"13,100",2,-,-,2019,용동로57번안길 9-11,-,중개거래,경남 창원의창구
12,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,57.8574,202209,16,"35,000",10,-,-,2019,용동로57번안길 9-11,-,중개거래,경남 창원의창구
13,경상남도 창원시 의창구 동읍 용잠리,215-18,0215,0018,창원1차 비룡벨로스텔라,62.6884,202209,16,"11,000",10,-,-,2018,의창대로 905,-,직거래,-
14,경상남도 창원시 의창구 팔용동,31-2,0031,0002,한미코보스텔,22.7000,202209,15,"3,500",7,-,-,2004,창원대로397번길 8-9,-,직거래,-
