□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,23.2698,202312,29,"8,300",22,-,-,2019,동서동2길 60,-,직거래,-
2,경상남도 창원시 마산합포구 산호동,6-4,0006,0004,SQUARE_B,37.2040,202312,29,"21,397",20,-,-,2023,용마로 106,-,중개거래,경남 창원마산합포구
3,경상남도 창원시 마산합포구 오동동,17-150,0017,0150,삼광프리존,27.0075,202312,28,"2,900",11,-,-,2003,합포로 102,20240111,중개거래,경남 창원마산합포구
4,경상남도 창원시 마산합포구 오동동,17-150,0017,0150,삼광프리존,27.0075,202312,28,"2,900",11,-,-,2003,합포로 102,-,중개거래,경남 창원마산합포구
5,경상남도 창원시 마산합포구 오동동,17-150,0017,0150,삼광프리존,27.0075,202312,28,"2,870",9,-,-,2003,합포로 102,-,중개거래,경남 창원마산합포구
6,경상남도 창원시 마산합포구 산호동,14-5,0014,0005,(14-5),25.0800,202312,24,"2,450",3,-,-,2002,산호북4길 11,-,중개거래,경남 창원마산합포구
7,경상남도 창원시 마산합포구 동성동,315-1,0315,0001,삼오빌딩,63.0600,202312,23,"5,000",10,-,-,2003,해안대로 359,-,중개거래,경남 창원의창구
8,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,42.9900,202312,22,"5,400",3,-,-,2017,해안대로 376,-,직거래,-
9,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.2000,202312,18,"3,100",7,-,-,1999,해안대로 15,-,중개거래,경남 창원마산합포구
10,경상남도 창원시 마산합포구 산호동,7-5,0007,0005,동인노블리앙,40.1800,202312,16,"6,800",7,-,-,2004,산호북19길 11,-,중개거래,경남 창원마산회원구
11,경상남도 창원시 마산합포구 산호동,316-6,0316,0006,상신크루지움 오피스텔,47.8400,202312,15,"10,000",9,-,-,2015,합포로 162,-,직거래,-
12,경상남도 창원시 마산합포구 산호동,6-4,0006,0004,SQUARE_B,21.6860,202312,15,"12,400",18,-,-,2023,용마로 106,-,중개거래,경남 창원마산합포구
13,경상남도 창원시 마산합포구 산호동,316-6,0316,0006,상신크루지움 오피스텔,52.7700,202312,15,"15,000",13,-,-,2015,합포로 162,-,직거래,-
14,경상남도 창원시 마산합포구 산호동,316-6,0316,0006,상신크루지움 오피스텔,47.8400,202312,15,"10,000",12,-,-,2015,합포로 162,-,직거래,-
