시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 교방동,3**,단독,8m미만,99.16,110.5,201812,1,"        13,000",1985,교방동1길
경상남도 창원마산합포구 교방동,3**,단독,8m미만,98.67,114.8,201903,30,"        17,100",1985,교방동1길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,393.14,149.1,201902,14,"        29,000",1993,교방남4길
경상남도 창원마산합포구 교원동,7*,다가구,8m미만,369.52,237,201809,14,"        85,500",1960,노산남8길
경상남도 창원마산합포구 교원동,7*,단독,8m미만,34.48,74,201906,17,"         5,000",1900,노산남10길
경상남도 창원마산합포구 교원동,7*,단독,8m미만,33.06,77,201812,3,"         7,500",1960,노산남8길
경상남도 창원마산합포구 교원동,1*,단독,8m미만,98.96,89,201902,15,"         9,450",1995,회원남14길
경상남도 창원마산합포구 교원동,2*,단독,8m미만,191.65,219,201808,10,"        68,200",1960,노산서20길
경상남도 창원마산합포구 교원동,2*,단독,8m미만,89.82,460,201808,10,"       124,900",1960,회원남14길
경상남도 창원마산합포구 구산면 구복리,1**,단독,8m미만,26.4,134,201811,20,"         2,500",1960,장구길
경상남도 창원마산합포구 구산면 난포리,3**,단독,8m미만,45.78,71,201812,6,"         7,000",2004,난포해안길
경상남도 창원마산합포구 구산면 난포리,2**,단독,8m미만,18,197,201903,5,"         3,350",1999,난포2길
경상남도 창원마산합포구 구산면 난포리,2**,단독,8m미만,107.23,300,201811,1,"        24,500",2012,난포해안길
경상남도 창원마산합포구 구산면 내포리,1***,다가구,8m미만,156.76,171.09,201903,19,"         9,838",2001,해양관광로
경상남도 창원마산합포구 구산면 내포리,1***,다가구,8m미만,188.25,205.37,201902,28,"        21,000",2001,해양관광로
경상남도 창원마산합포구 구산면 내포리,1***,단독,8m미만,66.77,298,201902,17,"         7,000",1993,욱곡2길
경상남도 창원마산합포구 구산면 내포리,6**,단독,8m미만,122.28,359.5,201807,16,"        13,200",2008,내포2길
경상남도 창원마산합포구 구산면 내포리,1***,단독,8m미만,387.77,660,201807,19,"        54,770",2002,해양관광로
경상남도 창원마산합포구 구산면 마전리,3**,단독,8m미만,76.28,230,201903,14,"         4,500",1993,
경상남도 창원마산합포구 구산면 마전리,1**,단독,8m미만,62.8,317,201811,1,"        12,800",1951,마전길
경상남도 창원마산합포구 구산면 마전리,1**,단독,8m미만,65.53,331,201809,12,"        14,600",1995,마전길
경상남도 창원마산합포구 구산면 마전리,8*,단독,8m미만,169.97,487,201904,15,"        59,000",2016,마전길
경상남도 창원마산합포구 구산면 반동리,3**,단독,8m미만,29.75,179,201901,25,"         5,000",2010,양평길
경상남도 창원마산합포구 구산면 반동리,5**,단독,8m미만,26.44,215,201906,30,"         6,500",1998,반동길
경상남도 창원마산합포구 구산면 반동리,4**,단독,8m미만,49.58,268,201905,2,"         8,000",1998,반동길
경상남도 창원마산합포구 구산면 석곡리,4*,단독,8m미만,85.41,218,201904,8,"         7,500",2012,아랫석곡길
경상남도 창원마산합포구 구산면 수정리,5**,단독,8m미만,93.84,298,201904,15,"        11,000",2008,수정3길
경상남도 창원마산합포구 구산면 심리,*,단독,8m미만,77.76,94,201811,22,"         4,500",1990,
