시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산회원구 구암동,1***,다가구,25m미만,101.92,90.1,201503,6,"        14,800",1985,구암서1길
경상남도 창원마산회원구 구암동,8*,다가구,25m미만,83.37,96.3,201501,13,"        17,500",1979,팔용로
경상남도 창원마산회원구 구암동,2**,다가구,12m미만,105.18,99.4,201503,3,"        13,800",1983,구암북11길
경상남도 창원마산회원구 구암동,1***,다가구,8m미만,106.21,100,201502,18,"        13,500",1982,구암동정길
경상남도 창원마산회원구 구암동,2*,다가구,12m미만,119.13,107.8,201504,20,"        17,000",1983,구암남5길
경상남도 창원마산회원구 구암동,1***,다가구,8m미만,119.51,118.3,201503,25,"        12,800",1983,구암동정길
경상남도 창원마산회원구 구암동,8*,다가구,25m미만,118.84,119.7,201503,5,"        19,500",1983,팔용로
경상남도 창원마산회원구 구암동,9*,다가구,8m미만,117.92,122.5,201502,12,"        24,000",1979,구암남15길
경상남도 창원마산회원구 구암동,*,다가구,8m미만,131.98,125.5,201506,26,"        19,500",1981,금강로
경상남도 창원마산회원구 구암동,4**,다가구,8m미만,184.19,132.3,201501,26,"        21,000",1997,구암북8길
경상남도 창원마산회원구 구암동,1*,다가구,8m미만,124.68,136.9,201506,12,"        19,450",1977,구암서1길
경상남도 창원마산회원구 구암동,1***,다가구,8m미만,170.1,157,201506,16,"        21,825",1992,구암동4길
경상남도 창원마산회원구 구암동,8*,다가구,12m미만,184.65,181.8,201502,26,"        49,000",1985,구암남10길
경상남도 창원마산회원구 구암동,8*,다가구,12m미만,130.71,200.4,201504,11,"        25,300",1979,구암남13길
경상남도 창원마산회원구 구암동,1***,다가구,8m미만,392.92,207.8,201501,29,"        75,000",2011,구암동1길
경상남도 창원마산회원구 구암동,1*,다가구,8m미만,170.65,208.5,201504,10,"        26,000",1973,구암서1길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,97.36,93.2,201504,22,"        13,900",1987,구암북4길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,103.55,94.4,201501,19,"        15,250",1983,구암북1길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,109.9,96.3,201505,15,"        16,700",1983,구암북19길
경상남도 창원마산회원구 구암동,*,단독,12m미만,98.87,96.5,201503,12,"        17,000",1980,구암서3길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,102.67,99,201501,29,"        11,400",1976,구암동1길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,59.47,100.4,201502,3,"        14,750",1982,구암북10길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,110.07,102.6,201504,18,"        18,500",1983,구암북19길
경상남도 창원마산회원구 구암동,1*,단독,25m미만,59.44,107.3,201505,8,"        16,800",1978,구암서1길
경상남도 창원마산회원구 구암동,2*,단독,12m미만,64.2,107.6,201503,16,"        14,000",1983,구암서5길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,225.95,116.1,201503,24,"        15,000",1991,구암북18길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,116.17,118.3,201506,3,"        17,050",1982,3·15성역로
경상남도 창원마산회원구 구암동,2*,단독,8m미만,69.46,118.5,201503,27,"        19,000",1977,구암남2길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,119.88,119,201505,7,"         7,000",1983,금강로
경상남도 창원마산회원구 구암동,1***,단독,8m미만,79.43,119.6,201505,9,"        17,900",1984,금강로
경상남도 창원마산회원구 구암동,*,단독,12m미만,120.03,120.1,201506,11,"        17,800",1982,구암서3길
경상남도 창원마산회원구 구암동,1***,단독,25m미만,133.51,121.5,201506,10,"        29,700",1988,금강로
경상남도 창원마산회원구 구암동,2**,단독,8m미만,126.5,122.4,201505,4,"        18,700",983,구암북19길
경상남도 창원마산회원구 구암동,1*,단독,12m미만,127.46,123.2,201501,30,"         9,700",1982,구암서3길
경상남도 창원마산회원구 구암동,8*,단독,8m미만,68.07,123.7,201506,23,"        13,105",1979,팔용로
경상남도 창원마산회원구 구암동,1*,단독,8m미만,110.75,124.1,201503,20,"        15,800",1978,구암서2길
경상남도 창원마산회원구 구암동,9*,단독,8m미만,77.29,124.8,201505,4,"        22,500",1979,구암남18길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,121.15,125.7,201504,6,"        21,700",1997,구암북16길
경상남도 창원마산회원구 구암동,1**,단독,8m미만,129.72,127,201503,20,"        23,500",1983,구암서9길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,141.38,127.6,201505,21,"        21,700",1998,구암북15길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,114.02,128.4,201503,11,"        15,400",1980,구암북15길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,51.07,129,201506,2,"         8,500",1970,구암동5길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,64.94,129,201504,29,"        11,500",1976,구암동5길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,124.56,131,201504,10,"        19,000",1986,구암남12길
경상남도 창원마산회원구 구암동,9*,단독,12m미만,140.7,131,201506,12,"        18,100",1976,구암남13길
경상남도 창원마산회원구 구암동,2*,단독,12m미만,130.05,131.1,201503,26,"        21,000",1979,구암남2길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,76.63,132.2,201505,30,"        18,000",1981,구암북10길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,78.49,133.1,201501,10,"        18,000",1983,구암북11길
경상남도 창원마산회원구 구암동,2*,단독,8m미만,120.33,133.5,201503,12,"        18,300",1978,구암서2길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,137.72,133.5,201505,1,"        14,700",1984,구암북19길
경상남도 창원마산회원구 구암동,1*,단독,8m미만,138.65,133.6,201502,23,"        20,000",1982,구암서3길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,81.76,138,201506,17,"        20,750",1983,구암북14길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,47.8,139,201503,24,"        11,000",1976,구암동5길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,140.63,139.3,201505,1,"        24,800",1987,구암북1길
경상남도 창원마산회원구 구암동,1*,단독,12m미만,131.47,140.3,201503,14,"        25,200",1979,구암서3길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,334.6,141.2,201501,19,"        32,500",1991,구암북14길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,129.73,143.1,201506,29,"        15,250",1979,구암동1길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,147.94,143.5,201506,27,"        20,700",1983,구암북4길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,131.8,144,201502,16,"        17,500",1979,구암동5길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,156.71,144.5,201506,1,"        21,000",1982,구암북7길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,84.87,147.1,201505,2,"        20,500",1984,구암북1길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,82.87,148,201502,23,"        15,200",1989,구암남23길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,164.78,150.8,201505,4,"        14,000",1990,구암북20길
경상남도 창원마산회원구 구암동,9*,단독,12m미만,151.81,153.5,201506,10,"        25,300",1978,구암남13길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,185.07,154.8,201501,19,"        26,800",1991,구암북15길
경상남도 창원마산회원구 구암동,9*,단독,12m미만,178.7,159.1,201505,18,"        29,500",1981,구암남17길
경상남도 창원마산회원구 구암동,*,단독,12m미만,127.4,160.9,201504,30,"        12,700",1978,구암서8길
경상남도 창원마산회원구 구암동,9*,단독,12m미만,173.74,160.9,201505,1,"        20,000",1979,구암남17길
경상남도 창원마산회원구 구암동,2*,단독,12m미만,93.12,165,201505,11,"        26,700",1977,구암서5길
경상남도 창원마산회원구 구암동,*,단독,12m미만,169.27,165.1,201503,9,"        23,400",1979,구암서3길
경상남도 창원마산회원구 구암동,1*,단독,12m미만,358.99,165.2,201506,27,"        44,000",1983,구암서6길
경상남도 창원마산회원구 구암동,1***,단독,25m미만,132.96,165.9,201504,28,"        10,000",1978,구암서1길
경상남도 창원마산회원구 구암동,1*,단독,8m미만,164.13,166.4,201504,6,"        18,000",1981,구암서3길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,174.02,171.5,201503,25,"        26,500",1986,구암북19길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,163.77,173.1,201505,20,"        22,450",1989,구암북20길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,171.89,173.1,201504,21,"        25,000",1992,구암북2길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,169.95,173.7,201504,3,"        26,900",1989,구암북3길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,58.44,176.4,201501,29,"        18,500",1976,구암동1길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,152.72,186.6,201502,9,"        30,000",1986,소계천서길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,58.56,188.7,201505,5,"        12,000",1983,구암북14길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,112.84,210.8,201503,20,"        28,700",1999,구암북1길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,325.9,210.9,201504,30,"        67,000",2008,소계천서길
경상남도 창원마산회원구 구암동,*,단독,12m미만,222.9,226.8,201504,22,"        37,000",1993,구암서2길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,492.18,234.1,201505,22,"        65,000",1991,구암북2길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,180.72,238,201503,31,"        23,500",1977,구암동정길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,340.28,595,201503,2,"        57,584",1985,
경상남도 창원마산회원구 내서읍 감천리,1***,단독,8m미만,104.13,149,201506,4,"         4,000",1970,감천2길
경상남도 창원마산회원구 내서읍 삼계리,6**,다가구,12m미만,328.86,162,201501,26,"        63,800",2011,삼계9길
경상남도 창원마산회원구 내서읍 삼계리,6**,다가구,8m미만,386.45,210,201503,28,"        70,242",,삼계9길
경상남도 창원마산회원구 내서읍 삼계리,*,다가구,25m이상,344.52,224.8,201503,20,"        68,000",2005,경남대로
경상남도 창원마산회원구 내서읍 삼계리,3*,다가구,12m미만,351.53,234.7,201505,4,"        58,700",2002,삼계로
경상남도 창원마산회원구 내서읍 삼계리,5**,다가구,25m미만,278.4,234.8,201504,16,"        53,000",2007,삼계로
경상남도 창원마산회원구 내서읍 삼계리,6**,다가구,8m미만,566.63,354,201503,23,"        81,000",2010,삼계9길
경상남도 창원마산회원구 내서읍 삼계리,6**,단독,8m미만,72.66,133,201506,8,"        12,500",1991,삼계본동1길
경상남도 창원마산회원구 내서읍 삼계리,5**,단독,12m미만,140.79,253.4,201506,25,"        40,000",2010,삼계숲길
경상남도 창원마산회원구 내서읍 상곡리,1**,다가구,8m미만,327.15,316,201504,7,"        45,538",,상곡로
경상남도 창원마산회원구 내서읍 신감리,5**,단독,12m미만,197.39,451,201501,30,"        25,000",1999,광려로
경상남도 창원마산회원구 내서읍 안성리,5**,단독,8m미만,54.3,139,201505,6,"         7,100",1970,안성로
경상남도 창원마산회원구 내서읍 용담리,3**,단독,8m미만,62.7,305,201503,27,"        15,500",1980,용담로
경상남도 창원마산회원구 내서읍 용담리,2**,단독,8m미만,68.61,512,201506,9,"        13,800",1986,함마대로
경상남도 창원마산회원구 내서읍 원계리,5**,단독,8m미만,87.8,426,201501,13,"        25,773",1989,
경상남도 창원마산회원구 내서읍 원계리,5**,단독,8m미만,87.6,749,201506,4,"        23,000",2001,원계증산길
경상남도 창원마산회원구 내서읍 중리,8**,다가구,8m미만,137.73,174,201504,13,"        20,400",1985,죽암동길
경상남도 창원마산회원구 내서읍 중리,1***,다가구,12m미만,324.63,210.1,201505,28,"        56,400",2007,중리1길
경상남도 창원마산회원구 내서읍 중리,1***,다가구,12m미만,217.1,210.5,201504,21,"        37,000",2001,중리1길
경상남도 창원마산회원구 내서읍 중리,3**,단독,8m미만,32.01,67,201503,12,"         7,500",1970,옥정1길
경상남도 창원마산회원구 내서읍 중리,9**,단독,8m미만,49.34,72,201506,10,"         4,200",1990,중리본동길
경상남도 창원마산회원구 내서읍 중리,8**,단독,8m미만,120.66,114,201506,22,"        12,725",1991,죽암동길
경상남도 창원마산회원구 내서읍 중리,9**,단독,8m미만,120.61,147,201502,24,"        10,300",1985,죽암서길
경상남도 창원마산회원구 내서읍 중리,3**,단독,8m미만,69.45,154,201505,6,"        12,250",1981,옥정2길
경상남도 창원마산회원구 내서읍 중리,9**,단독,8m미만,291.33,173,201501,2,"        29,000",1985,죽암서길
경상남도 창원마산회원구 내서읍 중리,1***,단독,25m이상,213.31,181.6,201503,30,"        48,500",1998,광려천서로
경상남도 창원마산회원구 내서읍 중리,1***,단독,12m미만,217.1,210.5,201506,1,"        37,000",2001,중리1길
경상남도 창원마산회원구 내서읍 중리,1***,단독,12m미만,420.27,262.7,201506,13,"        50,500",2002,중리1길
경상남도 창원마산회원구 내서읍 중리,1***,단독,-,35.3,277,201502,4,"         2,000",1980,
경상남도 창원마산회원구 내서읍 중리,1***,단독,8m미만,109.5,277,201502,4,"        18,000",,상동길
경상남도 창원마산회원구 내서읍 중리,8**,단독,8m미만,421.26,429,201502,6,"        58,000",2000,죽암서길
경상남도 창원마산회원구 내서읍 중리,1***,단독,12m미만,890.64,1329.5,201501,26,"       211,700",2000,중리공단로2길
경상남도 창원마산회원구 내서읍 평성리,2**,단독,8m미만,98.1,221,201504,27,"        15,200",2009,평성1길
경상남도 창원마산회원구 내서읍 호계리,2**,다가구,8m미만,279.27,153,201503,12,"        50,200",2011,호원로
경상남도 창원마산회원구 내서읍 호계리,2**,다가구,8m미만,173.43,168,201506,27,"        18,200",1992,구미길
경상남도 창원마산회원구 내서읍 호계리,5**,단독,8m미만,90.6,138,201502,2,"        14,000",2003,호계본동4길
경상남도 창원마산회원구 내서읍 호계리,5**,단독,8m미만,90.6,138,201503,19,"        14,500",2003,호계본동4길
경상남도 창원마산회원구 내서읍 호계리,7**,단독,-,54.83,143,201503,11,"        21,000",1980,호계본동로
경상남도 창원마산회원구 두척동,1***,단독,8m미만,117.45,330,201503,27,"        27,000",1994,두척1길
경상남도 창원마산회원구 두척동,8**,단독,8m미만,212.88,440,201505,11,"        28,000",2008,함마대로
경상남도 창원마산회원구 두척동,5**,단독,25m이상,395.98,1014,201505,27,"       156,750",1995,북성로
경상남도 창원마산회원구 봉암동,4**,다가구,12m미만,120.57,113.6,201504,21,"        15,000",1983,봉덕2길
경상남도 창원마산회원구 봉암동,4**,다가구,12m미만,100.24,114.79,201506,8,"        18,500",2011,봉덕2길
경상남도 창원마산회원구 봉암동,4**,단독,8m미만,107,112,201504,1,"        12,000",1979,봉암북2길
경상남도 창원마산회원구 봉암동,4**,단독,8m미만,111.38,117.6,201505,27,"        11,000",1984,봉암북2길
경상남도 창원마산회원구 봉암동,4**,단독,25m미만,127.63,118.7,201504,17,"        23,000",1981,봉덕2길
경상남도 창원마산회원구 봉암동,4**,단독,8m미만,133.25,121.1,201505,27,"        13,200",1986,봉암북6길
경상남도 창원마산회원구 봉암동,4**,단독,8m미만,117.83,141.4,201503,18,"        17,200",1983,봉양로
경상남도 창원마산회원구 봉암동,4**,단독,12m미만,147.02,147.9,201504,14,"        24,000",1986,봉암북10길
경상남도 창원마산회원구 봉암동,4**,단독,8m미만,155.68,149.5,201504,14,"        17,500",1984,봉암북11길
경상남도 창원마산회원구 봉암동,4**,단독,8m미만,172.65,175,201502,27,"        23,000",1981,봉암북1길
경상남도 창원마산회원구 봉암동,4**,단독,12m미만,200.63,175,201503,24,"        29,500",1988,봉암북10길
