시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원진해구 가주동,8*,단독,12m미만,20,356,201811,1,"        18,000",1945,가주로
경상남도 창원진해구 경화동,1***,다가구,25m이상,255.68,181.2,201902,23,"        16,000",1990,진해대로
경상남도 창원진해구 경화동,1***,다가구,12m미만,647.73,371.7,201812,10,"       120,000",2017,중초로23번길
경상남도 창원진해구 경화동,4**,단독,8m미만,31.64,79,201903,27,"         3,800",1945,충장로337번길
경상남도 창원진해구 경화동,1***,단독,8m미만,45.62,80.7,201810,5,"         6,500",1975,중초로
경상남도 창원진해구 경화동,2**,단독,8m미만,43.62,83,201808,27,"         8,000",1994,충장로337번길
경상남도 창원진해구 경화동,1***,단독,12m미만,55.09,90.6,201901,2,"        14,500",1993,충장로273번길
경상남도 창원진해구 경화동,9**,단독,8m미만,34.91,93,201811,4,"         9,100",1945,경화로26번길
경상남도 창원진해구 경화동,9**,단독,8m미만,34.91,93,201901,28,"         5,400",1945,경화로26번길
경상남도 창원진해구 경화동,1***,단독,12m미만,60.29,104.6,201811,14,"         7,900",1979,경화로21번길
경상남도 창원진해구 경화동,1***,단독,8m미만,59.67,104.7,201903,19,"         4,000",2000,중초로
경상남도 창원진해구 경화동,1***,단독,25m미만,63.02,111,201904,25,"         8,000",1984,조천북로
경상남도 창원진해구 경화동,1***,단독,8m미만,46.28,112,201902,27,"         6,800",1944,경화로
경상남도 창원진해구 경화동,1***,단독,12m미만,132.3,116.2,201901,16,"         9,090",1989,경화로37번길
경상남도 창원진해구 경화동,1***,단독,8m미만,65.29,122.2,201901,7,"         7,000",1978,충장로
경상남도 창원진해구 경화동,1***,단독,12m미만,89.29,127.5,201901,15,"        10,000",1977,중초로23번길
경상남도 창원진해구 경화동,1***,단독,8m미만,148.44,132,201905,7,"        16,000",1991,조천북로
경상남도 창원진해구 경화동,1***,단독,12m미만,74.64,135.7,201904,15,"        13,000",1978,충장로235번길
경상남도 창원진해구 경화동,2**,단독,8m미만,134.26,149,201810,5,"        30,000",2016,충장로337번길
경상남도 창원진해구 경화동,1***,단독,8m미만,80.57,150,201810,23,"        14,690",1989,조천로
경상남도 창원진해구 경화동,6**,단독,8m미만,88.9,152,201810,16,"        13,500",1999,경화로29번길
경상남도 창원진해구 경화동,1***,단독,8m미만,70.81,153.2,201901,16,"        14,500",1977,충장로289번길
경상남도 창원진해구 경화동,7**,단독,8m미만,58.28,155,201905,1,"        18,000",1939,경화로34번길
경상남도 창원진해구 경화동,3**,단독,8m미만,80.22,155,201906,6,"        10,000",1981,경화로17번길
경상남도 창원진해구 경화동,1***,단독,25m미만,160.28,155.3,201903,14,"        27,800",1983,중초로
경상남도 창원진해구 경화동,1***,단독,8m미만,83.4,180.2,201811,2,"        16,800",1978,충장로263번길
경상남도 창원진해구 경화동,1***,단독,8m미만,83.97,182,201903,11,"        10,000",1979,조천북로97번가길
경상남도 창원진해구 경화동,1***,단독,25m이상,190.78,306.4,201809,20,"        61,000",1979,충장로
경상남도 창원진해구 남문동,4**,단독,8m미만,52.8,40,201902,28,"         4,300",1990,웅천동로49번길
경상남도 창원진해구 남문동,8**,단독,8m미만,37.02,225,201904,2,"        11,200",1935,웅천중로33번안길
경상남도 창원진해구 남문동,1***,단독,25m미만,140.43,264.4,201809,11,"        42,000",2011,웅천동로152번길
경상남도 창원진해구 남양동,2**,단독,8m미만,44.8,71.1,201808,21,"         2,500",1990,남영로452번길
경상남도 창원진해구 남양동,8*,단독,8m미만,95.62,324,201809,3,"        18,000",2005,월남로104번길
경상남도 창원진해구 대장동,6*,단독,8m미만,81.93,587,201901,30,"        26,000",1995,대장로
경상남도 창원진해구 대죽동,1*,단독,8m미만,69,42,201903,13,"         5,820",1990,속천로
경상남도 창원진해구 대죽동,1*,단독,8m미만,84.4,184,201906,10,"         9,600",1983,속천로84번길
경상남도 창원진해구 덕산동,5*,다가구,12m미만,565.49,238,201901,19,"        80,000",2011,동진로
경상남도 창원진해구 덕산동,1*,단독,8m미만,104.15,111,201807,12,"         9,600",1987,충장로481번길
경상남도 창원진해구 덕산동,1*,단독,8m미만,59.79,115,201808,3,"        16,000",1987,충장로481번길
경상남도 창원진해구 마천동,1**,단독,8m미만,65.84,116,201901,18,"        12,500",1985,웅동로73번길
경상남도 창원진해구 마천동,1**,단독,12m미만,42.31,148,201901,18,"        18,500",1977,마천로
경상남도 창원진해구 마천동,6*,단독,8m미만,55.54,149,201809,4,"        13,000",1978,마천로10번길
경상남도 창원진해구 마천동,1**,단독,8m미만,122.5,174,201807,19,"        18,500",2013,마천로103번길
경상남도 창원진해구 명동,1**,단독,25m미만,26.45,73,201904,16,"        17,600",1920,명제로324번길
경상남도 창원진해구 명동,3**,단독,8m미만,55.86,119,201906,7,"         9,600",1995,명동로83번길
경상남도 창원진해구 명동,1**,단독,8m미만,71.64,294,201904,12,"        35,600",1987,명제로324번길
경상남도 창원진해구 북부동,4**,단독,8m미만,109.54,341,201903,11,"        22,500",1970,웅천북로39번길
경상남도 창원진해구 북부동,9**,단독,8m미만,156.56,342,201901,31,"        35,000",2012,웅천북로
경상남도 창원진해구 북부동,9**,단독,8m미만,99.58,452,201812,28,"        56,000",2015,웅천북로
경상남도 창원진해구 서중동,*,단독,12m미만,116.44,113,201904,25,"        15,750",2000,웅천로166번길
경상남도 창원진해구 서중동,1**,단독,8m미만,34.6,131,201811,29,"         9,400",2000,웅천중로65번길
경상남도 창원진해구 서중동,1**,단독,8m미만,120.33,190,201904,28,"        14,000",1989,웅천중로65번길
경상남도 창원진해구 서중동,1**,단독,8m미만,73.05,247,201901,1,"        19,652",1981,웅천서로112번길
경상남도 창원진해구 서중동,1**,단독,8m미만,64.23,318.75,201903,26,"        22,146",1941,웅천중로65번길
경상남도 창원진해구 석동,6**,다가구,25m미만,363.24,212.4,201901,28,"        58,500",2006,석동로59번길
경상남도 창원진해구 석동,1**,단독,25m미만,223.34,200.3,201905,27,"        36,900",1994,석동로30번길
경상남도 창원진해구 석동,2**,단독,25m미만,312.34,211.3,201905,1,"        52,700",1995,동진로35번길
경상남도 창원진해구 석동,1**,단독,12m미만,364.32,214.7,201809,21,"        51,000",2003,진해대로864번길
경상남도 창원진해구 석동,8*,단독,25m미만,134.72,226,201811,16,"        89,000",2002,냉천로
경상남도 창원진해구 석동,3**,단독,12m미만,76.77,294,201811,30,"        22,500",1984,돌리로21번길
경상남도 창원진해구 성내동,4**,단독,8m미만,89.76,245,201906,22,"        18,000",1998,웅천중로66번길
경상남도 창원진해구 성내동,3**,단독,8m미만,40.91,249,201807,23,"        15,000",1983,웅천중로65번길
경상남도 창원진해구 성내동,3**,단독,8m미만,205.64,306,201807,23,"        30,000",1995,웅천중로65번길
경상남도 창원진해구 성내동,4**,단독,8m미만,91.58,387,201809,3,"        23,400",1936,웅천중로66번길
경상남도 창원진해구 속천동,*,단독,12m미만,68.65,64.3,201902,20,"        12,592",1992,태평로92번길
경상남도 창원진해구 속천동,*,단독,12m미만,52.89,95.9,201902,11,"        15,000",1969,속천로
경상남도 창원진해구 속천동,*,단독,12m미만,52.9,105,201905,23,"        10,300",1990,속천로52번길
경상남도 창원진해구 속천동,*,단독,12m미만,76.03,258.3,201906,21,"        21,000",1979,속천로52번길
경상남도 창원진해구 안곡동,*,단독,12m미만,34.7,43,201809,27,"         3,195",1990,속천로
경상남도 창원진해구 안골동,3**,다가구,12m미만,358.52,191.7,201903,11,"        52,000",2012,안골로281번길
경상남도 창원진해구 안골동,3**,다가구,12m미만,492.89,297,201810,16,"        68,500",2012,안골로297번길
경상남도 창원진해구 안골동,3**,단독,25m미만,483.36,216,201807,7,"        83,000",2003,안청남로
경상남도 창원진해구 안골동,3**,단독,25m이상,492.77,241.1,201807,3,"        70,000",2003,안골로297번길
경상남도 창원진해구 여좌동,1**,다가구,25m미만,339.52,178.4,201812,27,"        65,000",2017,여명로
경상남도 창원진해구 여좌동,1**,다가구,8m미만,355.88,195.7,201905,31,"        43,500",2011,여명로25번라길
경상남도 창원진해구 여좌동,1**,단독,25m미만,33.06,22.1,201905,1,"         5,000",1965,여좌남로
경상남도 창원진해구 여좌동,9*,단독,12m미만,22.84,38.5,201902,16,"         3,700",1975,여좌로99번길
경상남도 창원진해구 여좌동,7**,단독,8m미만,34.71,44.6,201904,8,"         2,300",1969,충장로43번길
경상남도 창원진해구 여좌동,1**,단독,25m미만,95,54.7,201904,16,"         7,000",1976,여좌남로
경상남도 창원진해구 여좌동,1**,단독,8m미만,38.98,58,201905,16,"         4,250",1976,여좌로58번길
경상남도 창원진해구 여좌동,8**,단독,12m미만,20.63,61.6,201905,15,"         3,000",1955,태백서로14번길
경상남도 창원진해구 여좌동,7**,단독,8m미만,68.4,62,201810,16,"        14,000",1994,충장로
경상남도 창원진해구 여좌동,1**,단독,8m미만,71.74,62.4,201811,1,"         6,000",1992,여명로25번나길
경상남도 창원진해구 여좌동,1**,단독,8m미만,49.59,73.2,201811,26,"         5,000",1980,여좌천로
경상남도 창원진해구 여좌동,1**,단독,12m미만,38.84,74,201810,20,"         9,000",1952,여좌로
경상남도 창원진해구 여좌동,*,단독,8m미만,106.57,95.3,201809,12,"         6,350",1992,여좌로118번다길
경상남도 창원진해구 여좌동,9*,단독,12m미만,103.89,100,201906,3,"        13,500",1997,여좌로99번길
경상남도 창원진해구 여좌동,9*,단독,8m미만,33.06,111.4,201905,5,"         9,100",1940,여좌로56번안길
경상남도 창원진해구 여좌동,1**,단독,25m미만,164.43,114.5,201810,30,"        10,000",1977,여명로
경상남도 창원진해구 여좌동,3*,단독,8m미만,61.1,117.3,201808,14,"         5,000",1974,여좌로
경상남도 창원진해구 여좌동,1**,단독,12m미만,78.61,121.3,201808,10,"        17,500",1977,여좌남로49번길
경상남도 창원진해구 여좌동,7**,단독,8m미만,56.2,122.6,201808,28,"         8,600",1969,여좌남로10번길
경상남도 창원진해구 여좌동,9*,단독,8m미만,75.34,130.9,201812,12,"        11,900",1977,여좌로89번길
경상남도 창원진해구 여좌동,8**,단독,12m미만,63.5,131.2,201812,14,"        12,200",1976,태백서로
경상남도 창원진해구 여좌동,9*,단독,12m미만,99.74,131.2,201812,21,"        20,000",2004,여좌천로
경상남도 창원진해구 여좌동,1**,단독,12m미만,70.31,134.1,201903,11,"        17,200",1974,여명로
