address,lat,lon
가양로52번길,35.2056125,128.7014528
가음로92번길,35.204905,128.7017551
가음정로23번길,35.210463918,128.688074461
가음정로11번길,35.2119622,128.6857482
가양로34번길,35.2044162,128.7003505
가음로64번길,35.2070173,128.7016897
가양로,36.3433983,127.4421008
삼귀로,35.168799,128.6000469
삼귀로466번길,35.157424277,128.609615034
귀산로60번길,35.166640992,128.61591916
가음로57번길,35.2078507,128.7046239
가음로101번길,35.2045519,128.7043567
대암로101번길,35.2162011,128.7064466
대암로115번길,35.2152075,128.7096398
대암로105번길,35.2163573,128.7082919
대암로145번길,35.2130721,128.7105653
대암로171번길,35.2128322,128.7112918
반송로81번길,35.2411657,128.6656168
창원천로214번길,35.2435973,128.6621791
창원천로206번길,35.2434633,128.6612577
창원천로148번길,35.2422951,128.6557572
창원천로196번길,35.2414841,128.6605884
창원천로188번길,35.2421862,128.6596062
반송로,35.2533436,129.2028648
반송로82번길,35.2380222,128.6647305
반송로42번길,35.2388477,128.660823
창원천로162번길,35.2418646,128.6567657
반지로,35.2429076,128.6633681
충혼로201번길,35.2410549,128.6651536
반송로29번길,35.2432861,128.6630008
충혼로175번길,35.2406991,128.6638902
원이대로393번길,35.2391315,128.6626754
창원천로138번길,35.2414777,128.6556118
반지로4번길,35.2385343,128.6605335
창원천로238번길,35.2445549,128.664493
창원천로174번길,35.2422081,128.658092
반지로32번길,35.2400237,128.6631669
창원천로242번길,35.2442276,128.6650394
비음로91번길,35.22616,128.7031835
동산로176번길,35.2233709,128.6942128
동산로178번길,35.2225307,128.6956941
비음로27번길,35.2301288,128.7020993
비음로14번길,35.2287971,128.6988219
창이대로684번길,35.222789,128.6982371
창이대로695번길,35.2234945,128.7022302
비음로45번길,35.2293751,128.7021001
동산로192번길,35.2233858,128.69693
창이대로689번길,35.2247012,128.7018552
창이대로707번길,35.2225756,128.7021294
비음로55번길,35.227851,128.7026044
창이대로639번길,35.2278093,128.6988743
비음로,35.2293946,128.6966152
비음로67번길,35.2262522,128.7026368
비음로4번길,35.2271823,128.6980302
창이대로648번길,35.2250219,128.6976126
창이대로706번길,35.2217352,128.7002196
동산로200번길,35.2240768,128.6974625
창이대로729번길,35.220413,128.7047144
신사로,37.4898177,126.9219578
비음로24번길,35.2272188,128.7006085
창이대로690번길,35.2224033,128.6986038
동산로73번길,35.2179773,128.6844595
동산로55번길,35.2160444,128.6843891
동산로61번길,35.2162626,128.6848194
단정로58번길,35.2175165,128.6866556
동산로65번길,35.2175224,128.6843838
동산로54번길,35.2148682,128.687811
동산로,37.4726607,127.0471292
동산로48번길,35.2134094,128.6908549
토월로,35.2215194,128.688151
삼정자로33번길,35.20005,128.7097694
창원대로1137번길,35.1962391,128.7104749
삼정자로52번길,35.1959471,128.7119365
삼정자로63번길,35.2014649,128.7129155
삼정자로51번길,35.2003548,128.7119138
안민안길27번길,35.187598,128.6914646
안민로117번길,35.1877742,128.6902773
외동반림로46번길,35.2230861,128.6739189
외동반림로40번길,35.2227295,128.6737709
외동반림로134번길,35.2291443,128.6749203
외동반림로20번길,35.2241406,128.6747361
외동반림로130번길,35.2287334,128.6748967
외동반림로38번길,35.222418,128.6735292
외동반림로138번길,35.2296372,128.6748511
외동반림로80번길,35.2256804,128.676648
원이대로538번길,35.2293255,128.673574
용지로113번길,35.227035,128.6776956
외동반림로54번길,35.2237284,128.6743788
용지로111번길,35.2261336,128.6778193
외동반림로6번길,35.2233509,128.6759263
용지로21번길,35.219834,128.6719826
외동반림로74번길,35.2252043,128.6752562
가주로,35.1131422,128.8357812
중초로,35.1552953,128.6812482
충장로363번길,35.1559918,128.6916402
조천북로146번길,35.1608747,128.6879063
경화로26번길,35.1558642,128.6883349
진해대로650번길,35.1581089,128.6873962
경화시장로,35.1556347,128.6907285
경화로37번길,35.1566152,128.6827993
충장로329번길,35.1555204,128.6879435
충장로273번길,35.1562682,128.68243
조천북로,35.1609914,128.6820289
충장로235번길,35.1547204,128.6782866
진해대로,35.1019154,128.8197634
태백로,35.1540806,128.6768719
경화로18번길,35.15516,128.6884951
중초로15번길,35.1544438,128.6792706
경화로,35.1560951,128.6861649
충장로337번길,35.1555547,128.6887849
충장로289번길,35.1553318,128.6835982
진해대로636번길,35.1576475,128.6852302
경화로29번길,35.156006,128.6839731
충장로,35.1486464,126.9160594
진해대로597번길,35.158493401,128.681922556
경화로21번길,35.1552858,128.6837343
경화로15번길,35.1546676,128.6840618
조천로,35.1595697,128.6845795
병암로29번길,35.1563208,128.6922002
충장로285번길,35.1556278,128.6826545
진해대로614번길,35.1573527,128.6830369
조천로17번길,35.160236011,128.684409375
진해대로694번길,35.158292,128.6914404
조천북로85번길,35.1615273,128.6802698
중원로44번길,35.1479732,128.6602155
웅천동로49번길,35.100290284,128.753127387
웅천중로45번길,35.1098913,128.7484743
웅천중로50번길,35.110086415,128.750594038
웅천서로,35.1115048,128.7470512
남영로491번길,35.114906469,128.780736018
대장로163번길,35.138817807,128.778240667
마천로,37.5073421,127.1289918
태평로48번길,37.4479621,127.1323788
태평로92번안길,35.143613705,128.668621656
속천로52번안길,35.14155653,128.668933014
중원동로,35.1492846,128.6614749
충장로505번길,35.1444808,128.7024666
충장로481번길,35.146856,128.7023474
웅동로,35.1240861,128.7854646
마천로103번길,35.133918892,128.783965213
우도로5번길,35.088397952,128.722139154
명동로5번길,35.097602596,128.718203044
명제로370번길,35.094834296,128.73127247
태평로66번길,35.1449014,128.6664064
웅천북로,34.7523889,127.6751072
웅천북로39번길,35.117356614,128.74753537
웅천북로191번길,35.122305582,128.735063937
웅천로166번길,35.1125593,128.7481901
진해대로802번길,35.1563575,128.7008403
돌리로6번길,35.1580502,128.7015551
동진로76번길,35.1501437,128.702059
석동로73번길,35.1572967,128.7049186
돌리로16번길,35.1588345,128.7022237
돌리로9번길,35.1594992,128.6992551
냉천로,35.9455423,129.4006516
냉천로36번길,35.15009481,128.70225568
석동로39번길,35.1566397,128.7017059
석동로30번길,35.1531382,128.7030208
동진로35번길,35.1533124,128.7020504
동진로49번길,35.1811601,128.09615
석동로75번길,35.1580017,128.7050175
진해대로874번길,35.1512041,128.7053861
진해대로823번길,35.157328,128.7055925
돌리로22번길,35.159635,128.7018913
웅천중로66번길,35.111874,128.750474
소사천로,35.126372507,128.7781398
태평로,35.8727571,128.6079221
중원로79번길,35.1514407,128.6587144
속천로,35.1397782,128.6718388
안청남로6번길,35.1004018,128.8041626
안골로220번나길,35.092109677,128.796358115
안청로42번길,35.1007564,128.8051649
안골로220번가길,35.09195144,128.798227714
안골로277번길,35.0989039,128.8037995
안청로,37.0283086,126.9117694
안청남로22번길,35.10033,128.8057921
안청남로,35.1011823,128.805786
안골로298번길,35.0970778,128.8047511
안골로220번길,35.092502,128.7979882
여좌남로,35.1550318,128.6604765
여좌로56번길,35.1573221,128.6639422
여좌로,35.161222,128.6628826
여좌로70번길,35.157406585,128.663339564
대야로24번길,35.1546703,128.6699787
여좌로99번가길,35.1613742,128.6623401
여좌로11번길,35.15334321,128.664615213
